engine_id,name,type,purpose,governance
P14-ENG-001,Risk Scoring Engine,Deterministic,"Provides risk scoring engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-002,Hazard Control Engine,Deterministic,"Provides hazard control engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-003,JHA Completeness Engine,Deterministic,"Provides jha completeness engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-004,Pre-Task Plan Engine,Deterministic,"Provides pre-task plan engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-005,Permit Eligibility Engine,Deterministic,"Provides permit eligibility engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-006,Stop Work Control Engine,Deterministic,"Provides stop work control engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-007,Incident Classification Engine,Deterministic,"Provides incident classification engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-008,Recordability Decision Support,Deterministic,"Provides recordability decision support with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-009,Root Cause Assistant,Deterministic,"Provides root cause assistant with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-010,CAPA Engine,Deterministic,"Provides capa engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-011,Corrective Action Escalation Engine,Deterministic,"Provides corrective action escalation engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-012,Training Compliance Engine,Deterministic,"Provides training compliance engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-013,Certification Expiry Engine,Deterministic,"Provides certification expiry engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-014,Competency Verification Engine,Deterministic,"Provides competency verification engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
