rule_id,domain,name,rule,severity
P14-BR-001,Safety Management,HSEQ control rule 1,"When applicable risk, compliance or quality condition 1 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-002,Incident & Near-Miss Management,HSEQ control rule 2,"When applicable risk, compliance or quality condition 2 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-003,JHA/JSA & Pre-Task Planning,HSEQ control rule 3,"When applicable risk, compliance or quality condition 3 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-004,Permits to Work,HSEQ control rule 4,"When applicable risk, compliance or quality condition 4 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-005,Training & Competency,HSEQ control rule 5,"When applicable risk, compliance or quality condition 5 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-006,Environmental Management,HSEQ control rule 6,"When applicable risk, compliance or quality condition 6 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-007,Quality Management,HSEQ control rule 7,"When applicable risk, compliance or quality condition 7 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-008,Compliance & Regulatory,HSEQ control rule 8,"When applicable risk, compliance or quality condition 8 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-009,Industrial Hygiene,HSEQ control rule 9,"When applicable risk, compliance or quality condition 9 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-010,Emergency Management,HSEQ control rule 10,"When applicable risk, compliance or quality condition 10 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-011,Subcontractor HSEQ,HSEQ control rule 11,"When applicable risk, compliance or quality condition 11 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-012,Equipment & Fleet Safety,HSEQ control rule 12,"When applicable risk, compliance or quality condition 12 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-013,Public & Traffic Safety,HSEQ control rule 13,"When applicable risk, compliance or quality condition 13 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-014,Corrective & Preventive Action,HSEQ control rule 14,"When applicable risk, compliance or quality condition 14 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-015,Audit & Assurance,HSEQ control rule 15,"When applicable risk, compliance or quality condition 15 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-016,HSEQ Analytics,HSEQ control rule 16,"When applicable risk, compliance or quality condition 16 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-017,AI HSEQ Intelligence,HSEQ control rule 17,"When applicable risk, compliance or quality condition 17 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-018,HSEQ Digital Twin,HSEQ control rule 18,"When applicable risk, compliance or quality condition 18 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-019,Safety Management,HSEQ control rule 19,"When applicable risk, compliance or quality condition 19 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-020,Incident & Near-Miss Management,HSEQ control rule 20,"When applicable risk, compliance or quality condition 20 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-021,JHA/JSA & Pre-Task Planning,HSEQ control rule 21,"When applicable risk, compliance or quality condition 21 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-022,Permits to Work,HSEQ control rule 22,"When applicable risk, compliance or quality condition 22 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-023,Training & Competency,HSEQ control rule 23,"When applicable risk, compliance or quality condition 23 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-024,Environmental Management,HSEQ control rule 24,"When applicable risk, compliance or quality condition 24 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-025,Quality Management,HSEQ control rule 25,"When applicable risk, compliance or quality condition 25 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-026,Compliance & Regulatory,HSEQ control rule 26,"When applicable risk, compliance or quality condition 26 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-027,Industrial Hygiene,HSEQ control rule 27,"When applicable risk, compliance or quality condition 27 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-028,Emergency Management,HSEQ control rule 28,"When applicable risk, compliance or quality condition 28 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-029,Subcontractor HSEQ,HSEQ control rule 29,"When applicable risk, compliance or quality condition 29 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-030,Equipment & Fleet Safety,HSEQ control rule 30,"When applicable risk, compliance or quality condition 30 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-031,Public & Traffic Safety,HSEQ control rule 31,"When applicable risk, compliance or quality condition 31 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-032,Corrective & Preventive Action,HSEQ control rule 32,"When applicable risk, compliance or quality condition 32 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-033,Audit & Assurance,HSEQ control rule 33,"When applicable risk, compliance or quality condition 33 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-034,HSEQ Analytics,HSEQ control rule 34,"When applicable risk, compliance or quality condition 34 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-035,AI HSEQ Intelligence,HSEQ control rule 35,"When applicable risk, compliance or quality condition 35 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-036,HSEQ Digital Twin,HSEQ control rule 36,"When applicable risk, compliance or quality condition 36 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-037,Safety Management,HSEQ control rule 37,"When applicable risk, compliance or quality condition 37 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-038,Incident & Near-Miss Management,HSEQ control rule 38,"When applicable risk, compliance or quality condition 38 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-039,JHA/JSA & Pre-Task Planning,HSEQ control rule 39,"When applicable risk, compliance or quality condition 39 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-040,Permits to Work,HSEQ control rule 40,"When applicable risk, compliance or quality condition 40 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-041,Training & Competency,HSEQ control rule 41,"When applicable risk, compliance or quality condition 41 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-042,Environmental Management,HSEQ control rule 42,"When applicable risk, compliance or quality condition 42 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Blocking
P14-BR-043,Quality Management,HSEQ control rule 43,"When applicable risk, compliance or quality condition 43 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
P14-BR-044,Compliance & Regulatory,HSEQ control rule 44,"When applicable risk, compliance or quality condition 44 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
P14-BR-045,Industrial Hygiene,HSEQ control rule 45,"When applicable risk, compliance or quality condition 45 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
P14-BR-046,Emergency Management,HSEQ control rule 46,"When applicable risk, compliance or quality condition 46 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
P14-BR-047,Subcontractor HSEQ,HSEQ control rule 47,"When applicable risk, compliance or quality condition 47 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
P14-BR-048,Equipment & Fleet Safety,HSEQ control rule 48,"When applicable risk, compliance or quality condition 48 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
P14-BR-049,Public & Traffic Safety,HSEQ control rule 49,"When applicable risk, compliance or quality condition 49 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
P14-BR-050,Corrective & Preventive Action,HSEQ control rule 50,"When applicable risk, compliance or quality condition 50 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
P14-BR-051,Audit & Assurance,HSEQ control rule 51,"When applicable risk, compliance or quality condition 51 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
P14-BR-052,HSEQ Analytics,HSEQ control rule 52,"When applicable risk, compliance or quality condition 52 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
P14-BR-053,AI HSEQ Intelligence,HSEQ control rule 53,"When applicable risk, compliance or quality condition 53 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
P14-BR-054,HSEQ Digital Twin,HSEQ control rule 54,"When applicable risk, compliance or quality condition 54 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
P14-BR-055,Safety Management,HSEQ control rule 55,"When applicable risk, compliance or quality condition 55 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
P14-BR-056,Incident & Near-Miss Management,HSEQ control rule 56,"When applicable risk, compliance or quality condition 56 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
P14-BR-057,JHA/JSA & Pre-Task Planning,HSEQ control rule 57,"When applicable risk, compliance or quality condition 57 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
P14-BR-058,Permits to Work,HSEQ control rule 58,"When applicable risk, compliance or quality condition 58 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
P14-BR-059,Training & Competency,HSEQ control rule 59,"When applicable risk, compliance or quality condition 59 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
P14-BR-060,Environmental Management,HSEQ control rule 60,"When applicable risk, compliance or quality condition 60 is triggered, GrounUp shall enforce the configured control, owner, evidence and escalation path.",Advisory
