field_id,field_name,domain,type,required,definition,validation
P14-FLD-001,tenant_id,Safety Management,string/number/date/boolean,Conditional,Governed HSEQ field tenant_id.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-002,organization_id,Incident & Near-Miss Management,string/number/date/boolean,Conditional,Governed HSEQ field organization_id.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-003,project_id,JHA/JSA & Pre-Task Planning,string/number/date/boolean,Conditional,Governed HSEQ field project_id.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-004,location_id,Permits to Work,string/number/date/boolean,Conditional,Governed HSEQ field location_id.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-005,record_id,Training & Competency,string/number/date/boolean,Conditional,Governed HSEQ field record_id.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-006,record_version,Environmental Management,string/number/date/boolean,Conditional,Governed HSEQ field record_version.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-007,status,Quality Management,string/number/date/boolean,Conditional,Governed HSEQ field status.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-008,severity,Compliance & Regulatory,string/number/date/boolean,Conditional,Governed HSEQ field severity.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-009,risk_score,Industrial Hygiene,string/number/date/boolean,Conditional,Governed HSEQ field risk_score.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-010,likelihood,Emergency Management,string/number/date/boolean,Conditional,Governed HSEQ field likelihood.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-011,consequence,Subcontractor HSEQ,string/number/date/boolean,Conditional,Governed HSEQ field consequence.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-012,owner_id,Equipment & Fleet Safety,string/number/date/boolean,Conditional,Governed HSEQ field owner_id.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-013,assigned_to,Public & Traffic Safety,string/number/date/boolean,Conditional,Governed HSEQ field assigned_to.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-014,reported_by,Corrective & Preventive Action,string/number/date/boolean,Conditional,Governed HSEQ field reported_by.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-015,reported_at,Audit & Assurance,string/number/date/boolean,Conditional,Governed HSEQ field reported_at.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-016,occurred_at,HSEQ Analytics,string/number/date/boolean,Conditional,Governed HSEQ field occurred_at.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-017,due_at,AI HSEQ Intelligence,string/number/date/boolean,Conditional,Governed HSEQ field due_at.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-018,closed_at,HSEQ Digital Twin,string/number/date/boolean,Conditional,Governed HSEQ field closed_at.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-019,verified_at,Safety Management,string/number/date/boolean,Conditional,Governed HSEQ field verified_at.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-020,evidence_uri,Incident & Near-Miss Management,string/number/date/boolean,Conditional,Governed HSEQ field evidence_uri.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-021,source_system,JHA/JSA & Pre-Task Planning,string/number/date/boolean,Conditional,Governed HSEQ field source_system.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-022,source_record_id,Permits to Work,string/number/date/boolean,Conditional,Governed HSEQ field source_record_id.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-023,jurisdiction,Training & Competency,string/number/date/boolean,Conditional,Governed HSEQ field jurisdiction.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-024,regulation_code,Environmental Management,string/number/date/boolean,Conditional,Governed HSEQ field regulation_code.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-025,permit_number,Quality Management,string/number/date/boolean,Conditional,Governed HSEQ field permit_number.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
P14-FLD-026,training_code,Compliance & Regulatory,string/number/date/boolean,Conditional,Governed HSEQ field training_code.,"Validate scope, type, permissions, evidence and applicable jurisdiction"
