Workflow_ID,Workflow,States,Purpose,Routing_Basis
P11-WF-001,Supplier Onboarding,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for supplier onboarding.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-002,Supplier Prequalification,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for supplier prequalification.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-003,Sourcing Event,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for sourcing event.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-004,RFQ to Award,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for rfq to award.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-005,Purchase Requisition Approval,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for purchase requisition approval.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-006,Emergency Purchase,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for emergency purchase.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-007,PO Creation and Approval,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for po creation and approval.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-008,PO Change Control,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for po change control.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-009,Blanket PO Release,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for blanket po release.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-010,Subcontract Bid and Award,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for subcontract bid and award.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-011,Material Demand to Requisition,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for material demand to requisition.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-012,Receiving and Inspection,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for receiving and inspection.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-013,Damage and Return,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for damage and return.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-014,Inventory Replenishment,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for inventory replenishment.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-015,Inventory Transfer,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for inventory transfer.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-016,Cycle Count and Adjustment,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for cycle count and adjustment.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-017,Rental Request to Off-Rent,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for rental request to off-rent.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-018,Delivery and Logistics Planning,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for delivery and logistics planning.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-019,Three-Way Match Exception,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for three-way match exception.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-020,Supplier Performance Review,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for supplier performance review.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-021,Long-Lead Item Control,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for long-lead item control.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-022,AI Recommendation Review,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for ai recommendation review.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-023,Supply Disruption Response,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for supply disruption response.,"Role, amount, project, compliance, risk and exception thresholds"
P11-WF-024,Procurement Closeout,Requested > Validated > Reviewed > Approved > Executed > Reconciled > Closed,Governed end-to-end workflow for procurement closeout.,"Role, amount, project, compliance, risk and exception thresholds"
