KPI_ID,KPI,Definition,Frequency,Audience
P11-KPI-001,Requisition Cycle Time,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-002,PO Cycle Time,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-003,Sourcing Cycle Time,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-004,Spend Under Management,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-005,Contracted Spend Ratio,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-006,Realized Savings,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-007,Avoided Cost,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-008,Supplier On-Time Delivery,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-009,Supplier Quality Acceptance,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-010,Supplier Compliance Rate,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-011,Supplier Risk Exposure,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-012,Average Lead Time,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-013,Lead-Time Forecast Accuracy,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-014,Demand Forecast Accuracy,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-015,Inventory Turnover,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-016,Days Inventory on Hand,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-017,Stockout Rate,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-018,Backorder Rate,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-019,Excess Inventory Value,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-020,Obsolete Inventory Value,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-021,Cycle Count Accuracy,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-022,Receiving Accuracy,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-023,Dock-to-Stock Time,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-024,Perfect Order Rate,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-025,Rental Utilization,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-026,Rental Cost Variance,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-027,Off-Rent Timeliness,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-028,Three-Way Match Auto-Match Rate,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-029,Match Exception Aging,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-030,Emergency Purchase Rate,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-031,Maverick Spend Rate,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-032,Long-Lead Item Risk,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-033,Delivery Window Adherence,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-034,Procurement Commitment Variance,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
P11-KPI-035,Supply Chain Schedule Impact,Configured formula using governed transaction and status timestamps,Daily / Weekly / Monthly,"Procurement, Operations and Executive"
