Requirement_ID,Module,Test_ID,Entity_ID,API_ID,UI_ID,Status
P11-REQ-001,Procurement Planning,P11-TST-001,P11-ENT-001,P11-API-001,P11-UI-001,Mapped
P11-REQ-002,Procurement Planning,P11-TST-002,P11-ENT-002,P11-API-002,P11-UI-002,Mapped
P11-REQ-003,Procurement Planning,P11-TST-003,P11-ENT-003,P11-API-003,P11-UI-003,Mapped
P11-REQ-004,Procurement Planning,P11-TST-004,P11-ENT-004,P11-API-004,P11-UI-004,Mapped
P11-REQ-005,Procurement Planning,P11-TST-005,P11-ENT-005,P11-API-005,P11-UI-005,Mapped
P11-REQ-006,Procurement Planning,P11-TST-006,P11-ENT-006,P11-API-006,P11-UI-006,Mapped
P11-REQ-007,Procurement Planning,P11-TST-007,P11-ENT-007,P11-API-007,P11-UI-007,Mapped
P11-REQ-008,Procurement Planning,P11-TST-008,P11-ENT-008,P11-API-008,P11-UI-008,Mapped
P11-REQ-009,Procurement Planning,P11-TST-009,P11-ENT-009,P11-API-009,P11-UI-009,Mapped
P11-REQ-010,Procurement Planning,P11-TST-010,P11-ENT-010,P11-API-010,P11-UI-010,Mapped
P11-REQ-011,Procurement Planning,P11-TST-011,P11-ENT-011,P11-API-011,P11-UI-011,Mapped
P11-REQ-012,Procurement Planning,P11-TST-012,P11-ENT-012,P11-API-012,P11-UI-012,Mapped
P11-REQ-013,Procurement Planning,P11-TST-013,P11-ENT-013,P11-API-013,P11-UI-013,Mapped
P11-REQ-014,Procurement Planning,P11-TST-014,P11-ENT-014,P11-API-014,P11-UI-014,Mapped
P11-REQ-015,Procurement Planning,P11-TST-015,P11-ENT-015,P11-API-015,P11-UI-015,Mapped
P11-REQ-016,Procurement Planning,P11-TST-016,P11-ENT-016,P11-API-016,P11-UI-016,Mapped
P11-REQ-017,Procurement Planning,P11-TST-017,P11-ENT-017,P11-API-017,P11-UI-017,Mapped
P11-REQ-018,Supplier Management,P11-TST-018,P11-ENT-018,P11-API-018,P11-UI-018,Mapped
P11-REQ-019,Supplier Management,P11-TST-019,P11-ENT-019,P11-API-019,P11-UI-019,Mapped
P11-REQ-020,Supplier Management,P11-TST-020,P11-ENT-020,P11-API-020,P11-UI-020,Mapped
P11-REQ-021,Supplier Management,P11-TST-021,P11-ENT-021,P11-API-021,P11-UI-021,Mapped
P11-REQ-022,Supplier Management,P11-TST-022,P11-ENT-022,P11-API-022,P11-UI-022,Mapped
P11-REQ-023,Supplier Management,P11-TST-023,P11-ENT-023,P11-API-023,P11-UI-001,Mapped
P11-REQ-024,Supplier Management,P11-TST-024,P11-ENT-024,P11-API-024,P11-UI-002,Mapped
P11-REQ-025,Supplier Management,P11-TST-025,P11-ENT-025,P11-API-025,P11-UI-003,Mapped
P11-REQ-026,Supplier Management,P11-TST-026,P11-ENT-026,P11-API-026,P11-UI-004,Mapped
P11-REQ-027,Supplier Management,P11-TST-027,P11-ENT-027,P11-API-027,P11-UI-005,Mapped
P11-REQ-028,Supplier Management,P11-TST-028,P11-ENT-028,P11-API-028,P11-UI-006,Mapped
P11-REQ-029,Supplier Management,P11-TST-029,P11-ENT-029,P11-API-029,P11-UI-007,Mapped
P11-REQ-030,Supplier Management,P11-TST-030,P11-ENT-030,P11-API-030,P11-UI-008,Mapped
P11-REQ-031,Supplier Management,P11-TST-031,P11-ENT-031,P11-API-031,P11-UI-009,Mapped
P11-REQ-032,Supplier Management,P11-TST-032,P11-ENT-032,P11-API-032,P11-UI-010,Mapped
P11-REQ-033,Supplier Management,P11-TST-033,P11-ENT-033,P11-API-033,P11-UI-011,Mapped
P11-REQ-034,Supplier Management,P11-TST-034,P11-ENT-034,P11-API-034,P11-UI-012,Mapped
P11-REQ-035,Strategic Sourcing,P11-TST-035,P11-ENT-035,P11-API-035,P11-UI-013,Mapped
P11-REQ-036,Strategic Sourcing,P11-TST-036,P11-ENT-036,P11-API-036,P11-UI-014,Mapped
P11-REQ-037,Strategic Sourcing,P11-TST-037,P11-ENT-037,P11-API-001,P11-UI-015,Mapped
P11-REQ-038,Strategic Sourcing,P11-TST-038,P11-ENT-038,P11-API-002,P11-UI-016,Mapped
P11-REQ-039,Strategic Sourcing,P11-TST-039,P11-ENT-039,P11-API-003,P11-UI-017,Mapped
P11-REQ-040,Strategic Sourcing,P11-TST-040,P11-ENT-040,P11-API-004,P11-UI-018,Mapped
P11-REQ-041,Strategic Sourcing,P11-TST-041,P11-ENT-041,P11-API-005,P11-UI-019,Mapped
P11-REQ-042,Strategic Sourcing,P11-TST-042,P11-ENT-042,P11-API-006,P11-UI-020,Mapped
P11-REQ-043,Strategic Sourcing,P11-TST-043,P11-ENT-043,P11-API-007,P11-UI-021,Mapped
P11-REQ-044,Strategic Sourcing,P11-TST-044,P11-ENT-044,P11-API-008,P11-UI-022,Mapped
