UI_ID,Surface,Channel,Purpose,Standards
P11-UI-001,Procurement Command Center,Responsive Web,Role-based interface for procurement command center.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-002,Supplier 360,Responsive Web,Role-based interface for supplier 360.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-003,Supplier Onboarding Portal,Responsive Web,Role-based interface for supplier onboarding portal.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-004,Sourcing Event Workspace,Responsive Web,Role-based interface for sourcing event workspace.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-005,Bid Comparison and Leveling,Responsive Web,Role-based interface for bid comparison and leveling.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-006,Requisition Workspace,Responsive Web,Role-based interface for requisition workspace.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-007,Purchase Order Workspace,Responsive Web,Role-based interface for purchase order workspace.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-008,Subcontract Procurement Workspace,Responsive Web,Role-based interface for subcontract procurement workspace.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-009,Item and Catalog Manager,Responsive Web,Role-based interface for item and catalog manager.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-010,Inventory Control Center,Responsive Web,Role-based interface for inventory control center.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-011,Warehouse Mobile Workspace,Native Mobile / Offline,Role-based interface for warehouse mobile workspace.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-012,Receiving and Inspection Mobile,Native Mobile / Offline,Role-based interface for receiving and inspection mobile.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-013,Delivery and Logistics Board,Responsive Web,Role-based interface for delivery and logistics board.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-014,Rental Control Center,Responsive Web,Role-based interface for rental control center.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-015,Three-Way Match Exceptions,Responsive Web,Role-based interface for three-way match exceptions.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-016,Supply Risk Center,Responsive Web,Role-based interface for supply risk center.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-017,Supply Chain Digital Twin,Responsive Web,Role-based interface for supply chain digital twin.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-018,Executive Supply Chain Dashboard,Responsive Web,Role-based interface for executive supply chain dashboard.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-019,Vendor Self-Service Portal,Responsive Web,Role-based interface for vendor self-service portal.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-020,Project Material Planner,Responsive Web,Role-based interface for project material planner.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-021,Cycle Count Mobile,Native Mobile / Offline,Role-based interface for cycle count mobile.,"WCAG, tenant branding, configurable fields, saved views and audit history"
P11-UI-022,AI Procurement Copilot,Responsive Web,Role-based interface for ai procurement copilot.,"WCAG, tenant branding, configurable fields, saved views and audit history"
