requirement_id,domain,priority,requirement,acceptance_criteria,version,status
P25-REQ-001,Master Library Registry,Must,"GrounUp shall implement governed master library registry capability 1 as a tenant-aware, versioned, editable and traceable master-data service usable by estimating and downstream operations.","Capability 1 passes when identifiers, tenant scope, effective dates, source/provenance, approval state, version behavior, dependency integrity and mapped tests are verified.",v1.0.0,Implementation-ready
P25-REQ-002,Service Catalog,Must,"GrounUp shall implement governed service catalog capability 2 as a tenant-aware, versioned, editable and traceable master-data service usable by estimating and downstream operations.","Capability 2 passes when identifiers, tenant scope, effective dates, source/provenance, approval state, version behavior, dependency integrity and mapped tests are verified.",v1.0.0,Implementation-ready
P25-REQ-003,Service Categories,Must,"GrounUp shall implement governed service categories capability 3 as a tenant-aware, versioned, editable and traceable master-data service usable by estimating and downstream operations.","Capability 3 passes when identifiers, tenant scope, effective dates, source/provenance, approval state, version behavior, dependency integrity and mapped tests are verified.",v1.0.0,Implementation-ready
P25-REQ-004,Units of Measure,Must,"GrounUp shall implement governed units of measure capability 4 as a tenant-aware, versioned, editable and traceable master-data service usable by estimating and downstream operations.","Capability 4 passes when identifiers, tenant scope, effective dates, source/provenance, approval state, version behavior, dependency integrity and mapped tests are verified.",v1.0.0,Implementation-ready
P25-REQ-005,Labor Resource Library,Must,"GrounUp shall implement governed labor resource library capability 5 as a tenant-aware, versioned, editable and traceable master-data service usable by estimating and downstream operations.","Capability 5 passes when identifiers, tenant scope, effective dates, source/provenance, approval state, version behavior, dependency integrity and mapped tests are verified.",v1.0.0,Implementation-ready
P25-REQ-006,Crew Library,Must,"GrounUp shall implement governed crew library capability 6 as a tenant-aware, versioned, editable and traceable master-data service usable by estimating and downstream operations.","Capability 6 passes when identifiers, tenant scope, effective dates, source/provenance, approval state, version behavior, dependency integrity and mapped tests are verified.",v1.0.0,Implementation-ready
P25-REQ-007,Equipment Library,Must,"GrounUp shall implement governed equipment library capability 7 as a tenant-aware, versioned, editable and traceable master-data service usable by estimating and downstream operations.","Capability 7 passes when identifiers, tenant scope, effective dates, source/provenance, approval state, version behavior, dependency integrity and mapped tests are verified.",v1.0.0,Implementation-ready
P25-REQ-008,Truck Library,Must,"GrounUp shall implement governed truck library capability 8 as a tenant-aware, versioned, editable and traceable master-data service usable by estimating and downstream operations.","Capability 8 passes when identifiers, tenant scope, effective dates, source/provenance, approval state, version behavior, dependency integrity and mapped tests are verified.",v1.0.0,Implementation-ready
P25-REQ-009,Material Library,Must,"GrounUp shall implement governed material library capability 9 as a tenant-aware, versioned, editable and traceable master-data service usable by estimating and downstream operations.","Capability 9 passes when identifiers, tenant scope, effective dates, source/provenance, approval state, version behavior, dependency integrity and mapped tests are verified.",v1.0.0,Implementation-ready
P25-REQ-010,Subcontract Resource Library,Must,"GrounUp shall implement governed subcontract resource library capability 10 as a tenant-aware, versioned, editable and traceable master-data service usable by estimating and downstream operations.","Capability 10 passes when identifiers, tenant scope, effective dates, source/provenance, approval state, version behavior, dependency integrity and mapped tests are verified.",v1.0.0,Implementation-ready
P25-REQ-011,Disposal Library,Must,"GrounUp shall implement governed disposal library capability 11 as a tenant-aware, versioned, editable and traceable master-data service usable by estimating and downstream operations.","Capability 11 passes when identifiers, tenant scope, effective dates, source/provenance, approval state, version behavior, dependency integrity and mapped tests are verified.",v1.0.0,Implementation-ready
P25-REQ-012,Assembly Library,Must,"GrounUp shall implement governed assembly library capability 12 as a tenant-aware, versioned, editable and traceable master-data service usable by estimating and downstream operations.","Capability 12 passes when identifiers, tenant scope, effective dates, source/provenance, approval state, version behavior, dependency integrity and mapped tests are verified.",v1.0.0,Implementation-ready
P25-REQ-013,Assembly Components,Must,"GrounUp shall implement governed assembly components capability 13 as a tenant-aware, versioned, editable and traceable master-data service usable by estimating and downstream operations.","Capability 13 passes when identifiers, tenant scope, effective dates, source/provenance, approval state, version behavior, dependency integrity and mapped tests are verified.",v1.0.0,Implementation-ready
P25-REQ-014,Production Rate Library,Must,"GrounUp shall implement governed production rate library capability 14 as a tenant-aware, versioned, editable and traceable master-data service usable by estimating and downstream operations.","Capability 14 passes when identifiers, tenant scope, effective dates, source/provenance, approval state, version behavior, dependency integrity and mapped tests are verified.",v1.0.0,Implementation-ready
