Engine ID,Engine,Domain,Purpose,Inputs,Outputs,Approval
GES-P09-ENG-001,Workforce Demand Forecasting Engine,Workforce Planning,Processes governed workforce inputs and produces explainable outputs for workforce demand forecasting engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-002,Capacity Planning Engine,Recruiting and ATS,Processes governed workforce inputs and produces explainable outputs for capacity planning engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-003,Recruiting Match Engine,Onboarding,Processes governed workforce inputs and produces explainable outputs for recruiting match engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-004,Candidate Scoring Engine,Employee Master,Processes governed workforce inputs and produces explainable outputs for candidate scoring engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-005,Onboarding Orchestration Engine,Skills and Competencies,Processes governed workforce inputs and produces explainable outputs for onboarding orchestration engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-006,Worker Eligibility Engine,Crew Management,Processes governed workforce inputs and produces explainable outputs for worker eligibility engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-007,Crew Optimization Engine,Time and Attendance,Processes governed workforce inputs and produces explainable outputs for crew optimization engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-008,Workforce Scheduling Engine,Workforce Scheduling,Processes governed workforce inputs and produces explainable outputs for workforce scheduling engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-009,Time and Attendance Rules Engine,Compensation and Payroll Integration,Processes governed workforce inputs and produces explainable outputs for time and attendance rules engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-010,Geofence Validation Engine,Union and Labor Agreements,Processes governed workforce inputs and produces explainable outputs for geofence validation engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-011,Labor Rate Resolution Engine,Prevailing Wage and Certified Payroll,Processes governed workforce inputs and produces explainable outputs for labor rate resolution engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-012,Union Agreement Engine,Training and LMS,Processes governed workforce inputs and produces explainable outputs for union agreement engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-013,Prevailing Wage Engine,Licenses and Certifications,Processes governed workforce inputs and produces explainable outputs for prevailing wage engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-014,Certified Payroll Engine,Safety and Health Integration,Processes governed workforce inputs and produces explainable outputs for certified payroll engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-015,Payroll Reconciliation Engine,Leave and Absence,Processes governed workforce inputs and produces explainable outputs for payroll reconciliation engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-016,Credential Compliance Engine,Performance Management,Processes governed workforce inputs and produces explainable outputs for credential compliance engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-017,Training Recommendation Engine,Career and Succession,Processes governed workforce inputs and produces explainable outputs for training recommendation engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-018,Fatigue Risk Engine,Employee and Manager Self-Service,Processes governed workforce inputs and produces explainable outputs for fatigue risk engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-019,Retention Risk Engine,Workforce Digital Twin,Processes governed workforce inputs and produces explainable outputs for retention risk engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-020,Performance Insight Engine,AI Workforce Intelligence,Processes governed workforce inputs and produces explainable outputs for performance insight engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-021,Career Path Engine,Workforce Planning,Processes governed workforce inputs and produces explainable outputs for career path engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-022,Succession Planning Engine,Recruiting and ATS,Processes governed workforce inputs and produces explainable outputs for succession planning engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-023,Workforce Digital Twin Engine,Onboarding,Processes governed workforce inputs and produces explainable outputs for workforce digital twin engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
GES-P09-ENG-024,Workforce Notification Engine,Employee Master,Processes governed workforce inputs and produces explainable outputs for workforce notification engine.,Configuration; source records; effective dates,"Recommendation, decision support, exception or transaction",Human approval where consequential
