requirement_id,capability,verification,gap,evidence
GES-P04-REQ-001,Registry and ownership,not_verified,"Every library table is registered and classified — governance/registry.json names all 136 tables with their category and scope model, and a test fails the build if one is unclassified. Ownership is the missing half: no library, table or row records an accountable owner. P01, P03 and P23 each found the same absence independently.",
GES-P04-REQ-002,Canonical identifiers,verified,,"Every library row has an immutable uuid primary key, and a business code unique within its scope alongside it — a cost code, a rate code, an assembly code — so an external reference has something stable to quote without the code becoming the identity."
GES-P04-REQ-003,Tenant isolation,verified,,"Every library table carries company_id with forced row level security predicating on it, an index leading on it since migration 0049, and structural tenant parentage on every child. A company cannot read another company's overrides; a test proves it."
GES-P04-REQ-004,Global inheritance,verified,,"Three-tier scope is the platform's central library mechanism: a row owned by nobody is platform seed, one owned by an enterprise group is shared across its companies, one owned by a company is that company's. Resolution prefers the most specific, and 36 library governance tests hold the precedence."
GES-P04-REQ-005,Tenant overrides,verified,,"A company overrides a platform row by creating its own with the same key, and the resolver prefers it. The override is a separate row rather than an edit, so the platform row it replaced is still readable and the override is attributable."
GES-P04-REQ-006,White-label scoping,not_verified,"There is no white-label scoping. enterprise_groups give a middle tier for library sharing, which is not the same thing: there is no brand, no reseller, no per-brand catalog and no presentation scoped to one. P23 recorded the same absence, and the pricing page was corrected in this build for advertising a white-label capability.",
GES-P04-REQ-007,Role-based access,verified,,"Library reads and writes are permission-gated like everything else, and the write path is narrower than the read path by design: an estimator prices from the library and cannot change it. A seeded sales role reads estimates and cannot change pricing, proven by test."
GES-P04-REQ-008,Approval workflow,verified,,"A company-owned library row cannot reach `active` status without an approver — enforced by a check constraint applied generatively to every library table in migration 0028, so a library added later inherits it rather than needing to remember it. This build hit that constraint repeatedly while writing tests, which is what an enforced rule feels like."
GES-P04-REQ-009,Version control,verified,,"`library_row_versions` records every insert, update and delete of every library row as a full payload with a version number and the actor. There is deliberately no `valid_to`: a version ends when the next begins, so the close-out is a window function rather than a write, which keeps the table genuinely append-only rather than append-only by convention."
GES-P04-REQ-010,Effective dating,verified,,"Rates carry `effective_date` and `expires_on` with a constraint that the second follows the first, and version validity is derived from the version sequence. Financial periods are non-overlapping by exclusion constraint. Work calendars carry dated exceptions."
GES-P04-REQ-011,Historical pinning,verified,,"The strongest control in the library layer. An estimate version cannot reach approved, issued or awarded without a `library_snapshot` capturing the exact rows that priced it, and the snapshot must belong to that version — pointing at another version's snapshot is refused. `app.snapshot_drift` reports where the pinned rows and the current library have since diverged. An issued price the platform cannot reproduce is not a record of anything, and the schema says so."
GES-P04-REQ-012,Bulk imports,verified,,"The seed itself is a governed bulk import: 4,905 lines of SQL carrying 4,671 catalog records, generated by a script from the GrounUp v2.0 package, versioned in the repository, applied by the same migration runner as everything else, and covered by tests asserting the counts and the scope of every library it loads."
GES-P04-REQ-013,Schema mapping,not_verified,"No schema mapping. There is no mapping definition, no field correspondence and no transform between an external catalog's shape and this one — the seed generator hard-codes the one source it knows. Importing a company's existing cost catalog would be a code change.",
GES-P04-REQ-014,Duplicate detection,verified,,"Uniqueness is enforced where a duplicate is a data error: a cost code, rate code, material code, equipment code and assembly code are each unique within their scope, and a platform row and a company override of the same key are distinguishable rather than duplicates. Fuzzy detection of near-duplicates does not exist and is recorded at P03 rather than claimed here."
GES-P04-REQ-015,Source provenance,verified,,"`production_rates.source_type` records where a rate came from across six values from seed benchmark to company actual to estimator judgment, and `derived_from_project_id` records which job produced it. Library rows carry an `origin` distinguishing human, AI, import and calibration. The seed records its package version."
GES-P04-REQ-016,Confidence scoring,verified,,"`production_rates.confidence_score` is bounded 0 to 1 with a `sample_size` beside it, and the estimating engine carries confidence through to an estimate's confidence band — five levels including one that refuses to price. Confidence is a first-class concept here rather than a label."
GES-P04-REQ-017,Relationship graph,verified,,"The library is a graph and the edges are enforced: an assembly references components which reference materials, equipment, labor rates and nested assemblies, with a cycle check refusing an assembly that contains itself. A crew references its members; a production rate references its task and crew; a markup references its components."
GES-P04-REQ-018,Impact analysis,not_verified,"No impact analysis. Nothing answers what breaks if a rate changes: there is no dependency query, no affected-estimate list, no preview of a change's consequences. The snapshot drift report is the nearest thing and it runs the other way — it says which pinned estimates have diverged from the library, after the fact rather than before the change.",
GES-P04-REQ-019,Unit governance,verified,,"Units are a closed enum, `app.unit_code`, used on every quantity in the library and carried through to estimates, job costs and purchase orders. Volume state is separately typed — bank, loose and compacted cubic yards are different things and the engine converts explicitly rather than treating a cubic yard as a cubic yard."
GES-P04-REQ-020,Regional precedence,verified,,"Regional precedence is `condition_modifiers` and `pricing_profiles`, both three-tier and both applied by the engine in a defined order with the applied modifiers recorded on the estimate line. A region column on rates narrows applicability."
GES-P04-REQ-021,Search indexing,not_verified,"No search indexing over the library. Document text is indexed and searchable; the library is not — there is no index, no ranking and no lookup beyond exact code and name matching in application queries.",
GES-P04-REQ-022,Semantic search,not_verified,"No semantic search anywhere in the platform. No embeddings, no vector index, no similarity.",
