requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P16-REQ-001,GIS Core,not_verified,not_built,applicable QA checks; mapped test evidence,controlled spatial data; coordinate/reference metadata; source evidence; authorization boundaries,"No geometry column, no spatial index, no PostGIS, no layer, no feature. The platform stores coordinates as numerics and grids as JSON. Blocked platform-wide by: applicable QA checks (not_met), mapped test evidence (not_met)."
P16-REQ-002,Coordinate Reference Systems,not_verified,partial,applicable QA checks; mapped test evidence,controlled spatial data; coordinate/reference metadata; source evidence; authorization boundaries,"Every survey records its horizontal datum, vertical datum, coordinate system and units, and since 0047 all four are enforced before a quantity is computed. Nothing transforms between them — recorded as F4. Blocked platform-wide by: applicable QA checks (not_met), mapped test evidence (not_met)."
P16-REQ-003,Survey Control,not_verified,not_built,applicable QA checks; mapped test evidence,controlled spatial data; coordinate/reference metadata; source evidence; authorization boundaries,"No control point, no monument, no network, no adjustment, no residual — the absence that makes the QA condition fail. Blocked platform-wide by: applicable QA checks (not_met), mapped test evidence (not_met)."
P16-REQ-004,GNSS Survey,not_verified,not_built,applicable QA checks; mapped test evidence,controlled spatial data; coordinate/reference metadata; source evidence; authorization boundaries,"No receiver, no correction source, no RTK session, no fix quality, no observation. Blocked platform-wide by: applicable QA checks (not_met), mapped test evidence (not_met)."
P16-REQ-005,Total Station Survey,not_verified,not_built,applicable QA checks; mapped test evidence,controlled spatial data; coordinate/reference metadata; source evidence; authorization boundaries,"No instrument, no setup, no backsight, no traverse, no raw observation. Blocked platform-wide by: applicable QA checks (not_met), mapped test evidence (not_met)."
P16-REQ-006,Digital Levels,not_verified,not_built,applicable QA checks; mapped test evidence,controlled spatial data; coordinate/reference metadata; source evidence; authorization boundaries,"No level run, no benchmark, no closure, no adjustment. Blocked platform-wide by: applicable QA checks (not_met), mapped test evidence (not_met)."
P16-REQ-007,Construction Layout,not_verified,not_built,applicable QA checks; mapped test evidence,controlled spatial data; coordinate/reference metadata; source evidence; authorization boundaries,"No stakeout point, no layout report, no as-staked record, no offset. Blocked platform-wide by: applicable QA checks (not_met), mapped test evidence (not_met)."
P16-REQ-008,Topographic Survey,not_verified,partial,applicable QA checks; mapped test evidence,controlled spatial data; coordinate/reference metadata; source evidence; authorization boundaries,"A topographic capture becomes a gridded surface with a cell size, coverage and elevation range. There are no points, no breaklines, no contours and no triangulated model — the grid is the only representation. Blocked platform-wide by: applicable QA checks (not_met), mapped test evidence (not_met)."
P16-REQ-009,Existing Conditions,not_verified,partial,applicable QA checks; mapped test evidence,controlled spatial data; coordinate/reference metadata; source evidence; authorization boundaries,"An existing-ground surface is a first-class role, captured by any of six methods, differenced against design with full provenance. There is no feature capture: no breaklines, no boundaries, no utilities, no existing structures. Blocked platform-wide by: applicable QA checks (not_met), mapped test evidence (not_met)."
P16-REQ-010,Drone Operations,not_verified,not_built,applicable QA checks; mapped test evidence,controlled spatial data; coordinate/reference metadata; source evidence; authorization boundaries,"No flight, no plan, no mission, no pilot, no log. Blocked platform-wide by: applicable QA checks (not_met), mapped test evidence (not_met)."
P16-REQ-011,Photogrammetry,not_verified,not_built,applicable QA checks; mapped test evidence,controlled spatial data; coordinate/reference metadata; source evidence; authorization boundaries,"No image, no camera model, no tie point, no bundle adjustment, no processing run. Blocked platform-wide by: applicable QA checks (not_met), mapped test evidence (not_met)."
P16-REQ-012,LiDAR Reality Capture,not_verified,not_built,applicable QA checks; mapped test evidence,controlled spatial data; coordinate/reference metadata; source evidence; authorization boundaries,"A capture method can be named 'lidar' and nothing else exists: no point cloud, no classification, no intensity, no return. Blocked platform-wide by: applicable QA checks (not_met), mapped test evidence (not_met)."
