requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P19-REQ-001,Commercial Management Core,verified,built,,controlled contract/change/claim records; authority and deadline rules; linked cost/schedule/document evidence; permissions; mapped test results,
P19-REQ-002,Prime Contract Management,verified,built,,controlled contract/change/claim records; authority and deadline rules; linked cost/schedule/document evidence; permissions; mapped test results,
P19-REQ-003,Subcontract Management,not_verified,partial,,controlled contract/change/claim records; authority and deadline rules; linked cost/schedule/document evidence; permissions; mapped test results,"Vendors, subcontract purchase orders and subcontractor resource assignments exist, and a subcontract is priced by the same engine. There is no subcontract record with its own clauses, notice periods or retainage — a subcontract is modeled as a purchase commitment rather than as a contract with terms."
P19-REQ-004,Purchase Contract Commercials,not_verified,partial,,controlled contract/change/claim records; authority and deadline rules; linked cost/schedule/document evidence; permissions; mapped test results,"Purchase orders carry committed cost, delivery and three-way match against invoices. They carry no commercial terms of their own: no price escalation clause, no delivery liquidated damages, no notice period."
P19-REQ-005,Contract Clause Registry,verified,built,,controlled contract/change/claim records; authority and deadline rules; linked cost/schedule/document evidence; permissions; mapped test results,
P19-REQ-006,Obligation Management,not_verified,partial,,controlled contract/change/claim records; authority and deadline rules; linked cost/schedule/document evidence; permissions; mapped test results,"The obligations that can be computed are: notice deadlines, claim deadlines, submittal lead times and RFI response dates. Nothing registers a contractual obligation as an obligation — no obligation list, no owner, no status, no reminder ahead of a date."
P19-REQ-007,Notice Management,verified,built,,controlled contract/change/claim records; authority and deadline rules; linked cost/schedule/document evidence; permissions; mapped test results,
P19-REQ-008,Potential Change Management,verified,built,,controlled contract/change/claim records; authority and deadline rules; linked cost/schedule/document evidence; permissions; mapped test results,
P19-REQ-009,Change Order Management,verified,built,,controlled contract/change/claim records; authority and deadline rules; linked cost/schedule/document evidence; permissions; mapped test results,
P19-REQ-010,Change Pricing,not_verified,partial,,controlled contract/change/claim records; authority and deadline rules; linked cost/schedule/document evidence; permissions; mapped test results,"A change order carries the estimate version that priced it, so an amendment is costed by the same deterministic engine as the base bid, with cost and price impact separated. There is no change-specific pricing: no agreed markup schedule for changes, no unit price book carried from the contract, no cost-plus fee calculation."
P19-REQ-011,T&M / Force Account,not_verified,partial,,controlled contract/change/claim records; authority and deadline rules; linked cost/schedule/document evidence; permissions; mapped test results,"Time entries, equipment hours and material usage are all recorded against a project and can be read for a period. Nothing assembles them into a force account ticket, gets it signed daily, or prices it against a contract's T&M rate schedule."
P19-REQ-012,Change Authorization,verified,built,,controlled contract/change/claim records; authority and deadline rules; linked cost/schedule/document evidence; permissions; mapped test results,
P19-REQ-013,Contract Value Control,verified,built,,controlled contract/change/claim records; authority and deadline rules; linked cost/schedule/document evidence; permissions; mapped test results,
P19-REQ-014,Claims Management,verified,built,,controlled contract/change/claim records; authority and deadline rules; linked cost/schedule/document evidence; permissions; mapped test results,
P19-REQ-015,Delay & Disruption Records,not_verified,partial,,controlled contract/change/claim records; authority and deadline rules; linked cost/schedule/document evidence; permissions; mapped test results,"Daily reports carry weather and conditions, schedule baselines make variance measurable per activity and for the project finish, and a claim can cite the reports it rests on. There is no delay analysis: no fragnet, no windows analysis, no separation of excusable from compensable."
P19-REQ-016,Differing Site Conditions,not_verified,partial,,controlled contract/change/claim records; authority and deadline rules; linked cost/schedule/document evidence; permissions; mapped test results,"A claim type exists for it, survey surfaces record what was actually found against design, and the two can be cited together. Nothing links a differing condition to the specific design document it departs from, or computes the cost delta automatically."
