requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P11-REQ-001,Procurement Planning,not_verified,partial,,"authorized users can complete the function; required controls are enforced; all changes are timestamped; record traceable to tenant, company, project, user and source","Quote requests carry a due date and tie to a project, and inventory carries reorder points that surface what is running out. There is no plan: no buyout schedule, no long-lead item register, no procurement milestone tied to the schedule activity that needs the material."
P11-REQ-002,Procurement Planning,not_verified,partial,,"authorized users can complete the function; required controls are enforced; all changes are timestamped; record traceable to tenant, company, project, user and source","Quote requests carry a due date and tie to a project, and inventory carries reorder points that surface what is running out. There is no plan: no buyout schedule, no long-lead item register, no procurement milestone tied to the schedule activity that needs the material."
P11-REQ-003,Procurement Planning,not_verified,partial,,"authorized users can complete the function; required controls are enforced; all changes are timestamped; record traceable to tenant, company, project, user and source","Quote requests carry a due date and tie to a project, and inventory carries reorder points that surface what is running out. There is no plan: no buyout schedule, no long-lead item register, no procurement milestone tied to the schedule activity that needs the material."
P11-REQ-004,Procurement Planning,not_verified,partial,,"authorized users can complete the function; required controls are enforced; all changes are timestamped; record traceable to tenant, company, project, user and source","Quote requests carry a due date and tie to a project, and inventory carries reorder points that surface what is running out. There is no plan: no buyout schedule, no long-lead item register, no procurement milestone tied to the schedule activity that needs the material."
P11-REQ-005,Procurement Planning,not_verified,partial,,"authorized users can complete the function; required controls are enforced; all changes are timestamped; record traceable to tenant, company, project, user and source","Quote requests carry a due date and tie to a project, and inventory carries reorder points that surface what is running out. There is no plan: no buyout schedule, no long-lead item register, no procurement milestone tied to the schedule activity that needs the material."
P11-REQ-006,Procurement Planning,not_verified,partial,,"authorized users can complete the function; required controls are enforced; all changes are timestamped; record traceable to tenant, company, project, user and source","Quote requests carry a due date and tie to a project, and inventory carries reorder points that surface what is running out. There is no plan: no buyout schedule, no long-lead item register, no procurement milestone tied to the schedule activity that needs the material."
P11-REQ-007,Procurement Planning,not_verified,partial,,"authorized users can complete the function; required controls are enforced; all changes are timestamped; record traceable to tenant, company, project, user and source","Quote requests carry a due date and tie to a project, and inventory carries reorder points that surface what is running out. There is no plan: no buyout schedule, no long-lead item register, no procurement milestone tied to the schedule activity that needs the material."
P11-REQ-008,Procurement Planning,not_verified,partial,,"authorized users can complete the function; required controls are enforced; all changes are timestamped; record traceable to tenant, company, project, user and source","Quote requests carry a due date and tie to a project, and inventory carries reorder points that surface what is running out. There is no plan: no buyout schedule, no long-lead item register, no procurement milestone tied to the schedule activity that needs the material."
P11-REQ-009,Procurement Planning,not_verified,partial,,"authorized users can complete the function; required controls are enforced; all changes are timestamped; record traceable to tenant, company, project, user and source","Quote requests carry a due date and tie to a project, and inventory carries reorder points that surface what is running out. There is no plan: no buyout schedule, no long-lead item register, no procurement milestone tied to the schedule activity that needs the material."
P11-REQ-010,Procurement Planning,not_verified,partial,,"authorized users can complete the function; required controls are enforced; all changes are timestamped; record traceable to tenant, company, project, user and source","Quote requests carry a due date and tie to a project, and inventory carries reorder points that surface what is running out. There is no plan: no buyout schedule, no long-lead item register, no procurement milestone tied to the schedule activity that needs the material."
P11-REQ-011,Procurement Planning,not_verified,partial,,"authorized users can complete the function; required controls are enforced; all changes are timestamped; record traceable to tenant, company, project, user and source","Quote requests carry a due date and tie to a project, and inventory carries reorder points that surface what is running out. There is no plan: no buyout schedule, no long-lead item register, no procurement milestone tied to the schedule activity that needs the material."
P11-REQ-012,Procurement Planning,not_verified,partial,,"authorized users can complete the function; required controls are enforced; all changes are timestamped; record traceable to tenant, company, project, user and source","Quote requests carry a due date and tie to a project, and inventory carries reorder points that surface what is running out. There is no plan: no buyout schedule, no long-lead item register, no procurement milestone tied to the schedule activity that needs the material."
