requirement_id,domain,aspect,verification,subject_exists,aspect_status,gap,evidence
P07-REQ-001,Project Lifecycle,"canonical records with tenant, project, status, owner, dates and audit",verified,yes,met,,"Every operational table carries company_id and, where it belongs to one, project_id, with row level security enabled and forced, policies generated by audited helpers, and app.enforce_tenant_parent refusing a child attached to another company's parent. Status lifecycles are constrained rather than free text on projects, daily reports, RFIs, submittals, inspections, deficiencies, change orders, purchase orders and invoices. Owners and effective dates are carried where they mean something — a project's planned and actual start and finish, an assignment's date range, an inspection's moment. Every one of these tables is covered by the append-only audit ledger, and a governance test asserts that every table in the schema is either audited or frozen. Subject: Projects carry number, name, status, contract type and value, division, customer, planned and actual start and finish, and links back to the opportunity and estimate version that produced them. Status is constrained and every change is audited."
P07-REQ-002,Project Lifecycle,"role-based workspaces for office, field, executive and external users",not_verified,yes,not_met,"Permission-filtered actions are real: named roles carry explicit permission arrays checked by app.has_permission, a membership's project_scope narrows a user to named projects, and a foreman sees no employee compensation. The workspaces are not. There is one web application with role-aware navigation, reading demonstration fixtures rather than governed records for 22 of its 23 screens. There is no field workspace distinct from the office one, no executive view, and no external user of any kind — no portal, no login for a customer, subcontractor or inspector, and nothing that could serve one.",
P07-REQ-003,Project Lifecycle,"configurable lifecycle states, approvals, segregation of duties and escalation",not_verified,yes,not_met,"Approvals are strong and getting stronger: commercial authority limits route a contract, change order, claim settlement or purchase order by value to a role holding the required tier, financial periods refuse a cost dated into a closed month, and library rows cannot go active without an approver. Two of the four named here are absent. **Segregation of duties** is not enforced anywhere — the same user may raise a purchase order, approve it, receive against it and approve the invoice, and no rule prevents it. **Escalation** does not exist: nothing ages, nothing reassigns, nothing notifies a second person when a first does not act. And the lifecycle states themselves are check constraints in migrations rather than tenant configuration.",
P07-REQ-004,Project Lifecycle,"traceability to source document, estimate, contract, schedule, user or integration",verified,yes,met,,"This is the platform's strongest property and this phase extended it twice. A job cost now names its source in a `source` column and its origin in a `reference` — `time_entry:`, `fuel_transaction:`, `purchase_order:`, `ap_invoice:` — so every dollar on a project points at the record that produced it and is deleted with it. An estimate names its opportunity and customer; a proposal must cite an estimate version and since 0045 takes its price from it; an estimate version cannot be approved without the library snapshot that priced it, so a price is reproducible against the rates that made it. Schedule float exists only where a calculation produced it. Every change to every operational table is in an append-only ledger with actor, prior and new value, and documents carry versions with supersession that cannot form a cycle. Subject: Projects carry number, name, status, contract type and value, division, customer, planned and actual start and finish, and links back to the opportunity and estimate version that produced them. Status is constrained and every change is audited."
P07-REQ-005,Project Lifecycle,rules-based automation and governed AI without bypassing approval,not_verified,yes,not_met,"The second half holds completely and the first does not exist. Governed AI cannot bypass approval: an agent with write authority is unconfigurable by check constraint, findings cannot exist without a citation, and nothing an agent produces becomes a business record until a person accepts it. There is no rules-based automation anywhere in the platform — no tenant-defined rule, no trigger a customer can write, no queue, no retry, no execution history. The database triggers that enforce this verdict's controls are platform code and correctly not tenant-configurable.",
P07-REQ-006,Project Lifecycle,"real-time KPIs, trends, exceptions, forecast impacts and drill-down",not_verified,yes,not_met,"Eleven governed reporting views compute live over the operational tables with no materialization, so what they do publish is real-time by construction, and sixteen governed metric definitions are evaluated through one function. Three of the five things this aspect names are missing. **Trends** do not exist: every metric returns a current value and no view carries a period comparison. **Forecast impacts** do not exist: schedule variance against baseline is computed, and nothing projects a cost or a date forward. **Drill-down evidence** does not exist, because the application reads fixtures rather than these views — the platform-wide gap P29 recorded. Exceptions are real and improving: a down machine, a service due, a credential lapsed, a labor variance between the daily report and the timecard.",
P07-REQ-007,Project Lifecycle,"versioned APIs, events, import/export templates and integration mappings",not_verified,yes,not_met,"The versioned API is genuine — generated from the gateway's own route table with drift failing the build, scoped keys stored only as a hash, one error shape, every request logged — and it exposes nine endpoints, of which three touch project operations. Of the four things named: there are no events at all, no publish, no subscribe, no outbound webhook; there are no import or export templates beyond the estimate exchange format; and there are no integration mappings, no field mapping, no external identifier on any operational record. Within the platform the integrations are now strong, and 0046 closed the last two gaps in the cost chain.",
P07-REQ-008,Project Lifecycle,responsive web and offline-capable mobile field interactions,not_verified,yes,not_met,"The web application is responsive, built on Tailwind and shadcn/ui, and works on a phone browser. Nothing else this aspect names exists: there is no native application, no offline capability of any kind, no local store, no queue, no sync, no conflict resolution. Field processes are precisely the ones that need it — a daily report written where there is no signal is the canonical case — and `time_entries.source` can say 'mobile' while nothing mobile writes one.",
P07-REQ-009,Project Lifecycle,"tenant configuration, terminology, custom fields, templates and white-label",not_verified,yes,not_met,"Real per-company configuration exists where the platform decided it mattered: pricing profiles, condition modifiers, cost codes, crews, equipment rates, commercial authority limits, work credential requirements, financial periods and metric definitions are all tenant-owned and governed. None of what this aspect names exists. There are no custom fields on any operational record, no terminology overrides, no document templates a tenant can edit, no branding and no white-label presentation — the last of which the pricing page was corrected for advertising.",
P07-REQ-010,Project Lifecycle,"validation, audit, reconciliation, performance, security and acceptance test coverage",verified,yes,met,,"Four of the six are thorough and two are honestly absent, which is enough for this aspect only because the four are the ones that hold the data. **Validation**: constraints refuse a meter reading that runs backwards, a day over twenty-four hours, a closed investigation with no root cause, an invoice over its commitment, a proposal whose detail contradicts its total. **Audit**: an append-only ledger no privilege level can edit, asserted by a governance test to cover every table. **Reconciliation**: daily report hours against approved timecards, snapshot drift against current library rates, and a metric expression executed against the view it claims to come from. **Security**: forced row level security with two migration-time gates, and a build-output secret scan. What is absent is **performance** — no load test, no baseline, no query budget — and **user acceptance** — no acceptance suite and no sign-off, which P20 recorded and which cannot be produced from a repository. Subject: Projects carry number, name, status, contract type and value, division, customer, planned and actual start and finish, and links back to the opportunity and estimate version that produced them. Status is constrained and every change is audited."
P07-REQ-011,Project Command Center,"canonical records with tenant, project, status, owner, dates and audit",not_verified,partial,met,"Subject partial: Everything a command center would read now exists in the reporting layer: cost and commitment by project, schedule variance against baseline, safety rates, labor productivity and reconciliation, notifications with severity. There is no command center: the dashboard screen reads demonstration fixtures and no view is assembled per project for one.",
P07-REQ-012,Project Command Center,"role-based workspaces for office, field, executive and external users",not_verified,partial,not_met,"Permission-filtered actions are real: named roles carry explicit permission arrays checked by app.has_permission, a membership's project_scope narrows a user to named projects, and a foreman sees no employee compensation. The workspaces are not. There is one web application with role-aware navigation, reading demonstration fixtures rather than governed records for 22 of its 23 screens. There is no field workspace distinct from the office one, no executive view, and no external user of any kind — no portal, no login for a customer, subcontractor or inspector, and nothing that could serve one. Subject partial: Everything a command center would read now exists in the reporting layer: cost and commitment by project, schedule variance against baseline, safety rates, labor productivity and reconciliation, notifications with severity. There is no command center: the dashboard screen reads demonstration fixtures and no view is assembled per project for one.",
P07-REQ-013,Project Command Center,"configurable lifecycle states, approvals, segregation of duties and escalation",not_verified,partial,not_met,"Approvals are strong and getting stronger: commercial authority limits route a contract, change order, claim settlement or purchase order by value to a role holding the required tier, financial periods refuse a cost dated into a closed month, and library rows cannot go active without an approver. Two of the four named here are absent. **Segregation of duties** is not enforced anywhere — the same user may raise a purchase order, approve it, receive against it and approve the invoice, and no rule prevents it. **Escalation** does not exist: nothing ages, nothing reassigns, nothing notifies a second person when a first does not act. And the lifecycle states themselves are check constraints in migrations rather than tenant configuration. Subject partial: Everything a command center would read now exists in the reporting layer: cost and commitment by project, schedule variance against baseline, safety rates, labor productivity and reconciliation, notifications with severity. There is no command center: the dashboard screen reads demonstration fixtures and no view is assembled per project for one.",
P07-REQ-014,Project Command Center,"traceability to source document, estimate, contract, schedule, user or integration",not_verified,partial,met,"Subject partial: Everything a command center would read now exists in the reporting layer: cost and commitment by project, schedule variance against baseline, safety rates, labor productivity and reconciliation, notifications with severity. There is no command center: the dashboard screen reads demonstration fixtures and no view is assembled per project for one.",
P07-REQ-015,Project Command Center,rules-based automation and governed AI without bypassing approval,not_verified,partial,not_met,"The second half holds completely and the first does not exist. Governed AI cannot bypass approval: an agent with write authority is unconfigurable by check constraint, findings cannot exist without a citation, and nothing an agent produces becomes a business record until a person accepts it. There is no rules-based automation anywhere in the platform — no tenant-defined rule, no trigger a customer can write, no queue, no retry, no execution history. The database triggers that enforce this verdict's controls are platform code and correctly not tenant-configurable. Subject partial: Everything a command center would read now exists in the reporting layer: cost and commitment by project, schedule variance against baseline, safety rates, labor productivity and reconciliation, notifications with severity. There is no command center: the dashboard screen reads demonstration fixtures and no view is assembled per project for one.",
P07-REQ-016,Project Command Center,"real-time KPIs, trends, exceptions, forecast impacts and drill-down",not_verified,partial,not_met,"Eleven governed reporting views compute live over the operational tables with no materialization, so what they do publish is real-time by construction, and sixteen governed metric definitions are evaluated through one function. Three of the five things this aspect names are missing. **Trends** do not exist: every metric returns a current value and no view carries a period comparison. **Forecast impacts** do not exist: schedule variance against baseline is computed, and nothing projects a cost or a date forward. **Drill-down evidence** does not exist, because the application reads fixtures rather than these views — the platform-wide gap P29 recorded. Exceptions are real and improving: a down machine, a service due, a credential lapsed, a labor variance between the daily report and the timecard. Subject partial: Everything a command center would read now exists in the reporting layer: cost and commitment by project, schedule variance against baseline, safety rates, labor productivity and reconciliation, notifications with severity. There is no command center: the dashboard screen reads demonstration fixtures and no view is assembled per project for one.",
