requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P31-REQ-001,Production Architecture,not_verified,not_built,infrastructure/configuration version; environment scope; deployment behavior; rollback/recovery evidence; observability; ownership; capacity,security controls; mapped tests,"There is no production architecture because there is no production. The intended shape is described in the deployment documentation and has never been instantiated. Blocked platform-wide by: infrastructure/configuration version (not_met), environment scope (not_met), deployment behavior (not_met), rollback/recovery evidence (not_met), observability (not_met), ownership (not_met), capacity (not_met)."
P31-REQ-002,Cloud Provider Abstraction,not_verified,not_built,infrastructure/configuration version; environment scope; deployment behavior; rollback/recovery evidence; observability; ownership; capacity,security controls; mapped tests,"None, and none intended — the platform is written to Supabase and Stripe directly. Blocked platform-wide by: infrastructure/configuration version (not_met), environment scope (not_met), deployment behavior (not_met), rollback/recovery evidence (not_met), observability (not_met), ownership (not_met), capacity (not_met)."
P31-REQ-003,Regions & Availability Zones,not_verified,not_built,infrastructure/configuration version; environment scope; deployment behavior; rollback/recovery evidence; observability; ownership; capacity,security controls; mapped tests,"Single region, no zone awareness, no residency model. Blocked platform-wide by: infrastructure/configuration version (not_met), environment scope (not_met), deployment behavior (not_met), rollback/recovery evidence (not_met), observability (not_met), ownership (not_met), capacity (not_met)."
P31-REQ-004,Network Topology,not_verified,not_built,infrastructure/configuration version; environment scope; deployment behavior; rollback/recovery evidence; observability; ownership; capacity,security controls; mapped tests,"No network the platform defines. Blocked platform-wide by: infrastructure/configuration version (not_met), environment scope (not_met), deployment behavior (not_met), rollback/recovery evidence (not_met), observability (not_met), ownership (not_met), capacity (not_met)."
P31-REQ-005,Ingress & Edge,not_verified,not_built,infrastructure/configuration version; environment scope; deployment behavior; rollback/recovery evidence; observability; ownership; capacity,security controls; mapped tests,"No ingress the platform controls, no WAF, no edge rules. Blocked platform-wide by: infrastructure/configuration version (not_met), environment scope (not_met), deployment behavior (not_met), rollback/recovery evidence (not_met), observability (not_met), ownership (not_met), capacity (not_met)."
P31-REQ-006,DNS,not_verified,not_built,infrastructure/configuration version; environment scope; deployment behavior; rollback/recovery evidence; observability; ownership; capacity,security controls; mapped tests,"No managed DNS, no custom domain. Blocked platform-wide by: infrastructure/configuration version (not_met), environment scope (not_met), deployment behavior (not_met), rollback/recovery evidence (not_met), observability (not_met), ownership (not_met), capacity (not_met)."
P31-REQ-007,TLS Certificates,not_verified,not_built,infrastructure/configuration version; environment scope; deployment behavior; rollback/recovery evidence; observability; ownership; capacity,security controls; mapped tests,"Provided by the host; nothing here manages, rotates or monitors one. Blocked platform-wide by: infrastructure/configuration version (not_met), environment scope (not_met), deployment behavior (not_met), rollback/recovery evidence (not_met), observability (not_met), ownership (not_met), capacity (not_met)."
P31-REQ-008,Load Balancing,not_verified,not_built,infrastructure/configuration version; environment scope; deployment behavior; rollback/recovery evidence; observability; ownership; capacity,security controls; mapped tests,"None. Blocked platform-wide by: infrastructure/configuration version (not_met), environment scope (not_met), deployment behavior (not_met), rollback/recovery evidence (not_met), observability (not_met), ownership (not_met), capacity (not_met)."
P31-REQ-009,Application Runtime,not_verified,not_built,infrastructure/configuration version; environment scope; deployment behavior; rollback/recovery evidence; observability; ownership; capacity,security controls; mapped tests,"No runtime the platform operates: the bundle is served by a host and the functions by a provider. Blocked platform-wide by: infrastructure/configuration version (not_met), environment scope (not_met), deployment behavior (not_met), rollback/recovery evidence (not_met), observability (not_met), ownership (not_met), capacity (not_met)."
P31-REQ-010,Container Runtime,not_verified,not_built,infrastructure/configuration version; environment scope; deployment behavior; rollback/recovery evidence; observability; ownership; capacity,security controls; mapped tests,"No container image and no orchestration. The application is a static bundle and a set of Edge Functions. Blocked platform-wide by: infrastructure/configuration version (not_met), environment scope (not_met), deployment behavior (not_met), rollback/recovery evidence (not_met), observability (not_met), ownership (not_met), capacity (not_met)."
P31-REQ-011,Serverless/Worker Runtime,not_verified,partial,infrastructure/configuration version; environment scope; deployment behavior; rollback/recovery evidence; observability; ownership; capacity,security controls; mapped tests,"Edge Functions are the runtime and they are real code with real tests. There is no worker, no queue consumer and no scheduled invocation — nothing runs except in response to a request. Blocked platform-wide by: infrastructure/configuration version (not_met), environment scope (not_met), deployment behavior (not_met), rollback/recovery evidence (not_met), observability (not_met), ownership (not_met), capacity (not_met)."
P31-REQ-012,Database Infrastructure,not_verified,partial,infrastructure/configuration version; environment scope; deployment behavior; rollback/recovery evidence; observability; ownership; capacity,security controls; mapped tests,"137 tables with forced row level security, tenant-key indexes since P03, non-overlapping period constraints, exclusion constraints, generated columns and 54 migrations behind them. It is a schema rather than infrastructure: no replica, no pooling policy, no failover, no capacity plan. Blocked platform-wide by: infrastructure/configuration version (not_met), environment scope (not_met), deployment behavior (not_met), rollback/recovery evidence (not_met), observability (not_met), ownership (not_met), capacity (not_met)."
P31-REQ-013,Cache Infrastructure,not_verified,not_built,infrastructure/configuration version; environment scope; deployment behavior; rollback/recovery evidence; observability; ownership; capacity,security controls; mapped tests,"No cache — which P02 records as satisfying its own criterion, because a cache that does not exist cannot corrupt source data. Blocked platform-wide by: infrastructure/configuration version (not_met), environment scope (not_met), deployment behavior (not_met), rollback/recovery evidence (not_met), observability (not_met), ownership (not_met), capacity (not_met)."
