requirement_id,control,verification,gap,evidence
GOV-000001,Multi-tenant organization model,not_verified,"Companies, projects and one level of divisions exist, each tenant-owned with forced row level security and structural parentage. Business units, offices and departments do not — divisions are a single flat level under a company, with no nesting and no notion of an office or a department anywhere in the schema. P03 recorded the same absence from the data-architecture side.",
GOV-000002,Organization hierarchy,not_verified,"There is no organization hierarchy to version. Divisions carry no effective dates, no ownership and no history beyond the audit ledger's record that a row changed. The versioning discipline the platform applies to libraries, plans, documents, metrics and estimates was never applied to the organization itself.",
GOV-000003,Role-based access control,verified,,"Named roles carry explicit permission arrays and an approval tier, checked by app.has_permission with wildcards honored only as a whole grant rather than as prefixes. Every policy on every table is generated by two audited helpers rather than written by hand, so a table cannot be added with a hand-rolled policy that disagrees with the model. 51 row level security tests and 65 gateway authorization tests hold it."
GOV-000004,Scoped permissions,not_verified,"Three of the seven scopes exist and four do not. Tenant and company scope are the foundation of every policy; a membership's project_scope narrows a user to named projects; record type is the table itself. Office, department and owned-record scope have nothing to scope by — there are no offices or departments, and no policy anywhere distinguishes a record's creator from any other member of the company.",
GOV-000005,Segregation of duties,not_verified,"No segregation of duties. The same user may raise a purchase order, approve it, receive against it and approve the vendor invoice; the same user may create a change order and execute it if they hold the tier. Dual approval does not exist for any object — commercial authority limits check that one approver holds a sufficient tier, never that a second person is involved. P07 recorded this from the operations side.",
GOV-000006,User lifecycle governance,verified,,"Invitation, activation and suspension are governed states. company_invitations carry an expiry and a single-use acceptance; company_memberships carry an explicit status with joined and left timestamps; employees carry a lifecycle across applicant, onboarding, active, on leave and terminated, and a terminated employee must record when. Removing the last active owner from a company is refused outright, which is what makes suspension safe. Restoration is reactivation of the same membership row, so history survives it."
GOV-000007,External user governance,not_verified,"External users do not exist. Customers, vendors and subcontractors are records rather than identities: none can sign in, none has a restricted role, and there is no portal for any of them. P07 and P08 both recorded the absence of any external surface, and proposals.viewed_at exists precisely because somebody anticipated one.",
GOV-000008,Policy management,not_verified,"No policy management of any kind. There is no policy record, no owner, no acknowledgment and no supersession of a policy — the versioning-and-supersession machinery exists for documents, plans, libraries, metrics and machine control files, and was never pointed at policies. Toolbox talks are the nearest thing and are a safety meeting record rather than a governed policy.",
GOV-000009,Configuration governance,not_verified,"Configuration is per company and largely flat. Pricing profiles, condition modifiers, work calendars, authority limits, credential requirements, financial periods and metric definitions are all tenant-owned and governed, and the three-tier library scope gives platform, enterprise group and company precedence for reference data — real layering, for libraries. There is no configuration precedence for anything else: no enterprise layer above a company for settings, no office or project layer below it, no user preference layer, and nothing that declares which layer wins.",
GOV-000010,Approval framework,not_verified,"Approval policy is configurable for four objects and hard-coded everywhere else. commercial_authority_limits let a company set signing thresholds by amount for contracts, change orders, claim settlements and purchase orders, routed to a role holding the required tier — genuinely configurable, by object and amount. Nothing else is: a pay application is approved by anyone holding finance.write regardless of value, a timecard by anyone with the permission, an estimate by anyone who may approve estimates. There is no risk dimension, no scope condition and no rule engine.",
GOV-000011,Delegation of authority,not_verified,"No delegation. There is no way to grant approval authority to another person for a period, no acting-for relationship, and no record that an approval was made under delegated authority. A person on leave is a person whose approvals stop.",
