requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P14-REQ-001,Safety Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-002,Incident & Near-Miss Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-003,JHA/JSA & Pre-Task Planning,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No job hazard analysis, no job safety analysis, no pre-task plan, no hazard library, and no link from a planned task to the hazards it carries."
P14-REQ-004,Permits to Work,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No permit of any kind — no confined space, no hot work, no excavation, no energized work — and therefore no permit that must be open before the work it governs may start."
P14-REQ-005,Training & Competency,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Credentials carry type, issuer, identifier, issue and expiry dates, a status kept honest against the calendar, and now a requirement matrix that blocks assignment when a mandatory one is unmet. There is no training: no course, no delivery, no attendance beyond a toolbox talk, and no competency assessment separate from holding a certificate."
P14-REQ-006,Environmental Management,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Environmental incidents are a first-class incident type, weather is captured on daily reports and rolled up from a governed connector, and inspections can record anything. There is no environmental management: no permit, no monitoring program, no discharge or dust record, no SWPPP inspection distinct from a general one."
P14-REQ-007,Quality Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-008,Compliance & Regulatory,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"OSHA recordability is modeled properly — the flag, the case number it requires, days away and days restricted, and the incident types that drive it. Nothing produces the 300 log, the 300A summary or any regulatory filing, and no other jurisdiction is modeled."
P14-REQ-009,Industrial Hygiene,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No exposure monitoring, no sampling, no noise or silica or dust record, no health surveillance."
P14-REQ-010,Emergency Management,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No emergency plan, no muster point, no drill record, no emergency contact roster, no incident command."
P14-REQ-011,Subcontractor HSEQ,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Vendors and a cross-company network rating exist, and neither is a safety qualification. No subcontractor prequalification, no insurance or EMR check, no site orientation record, no sub-tier safety performance."
P14-REQ-012,Equipment & Fleet Safety,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Assets carry meter readings that cannot run backwards, maintenance schedules driven by those meters, and work orders that cannot close without a resolution. Operator qualification can now be enforced through the credential requirement matrix by declaring a work type. There is no equipment inspection checklist, no lockout/tagout, and no defect report that takes a machine out of service."
P14-REQ-013,Public & Traffic Safety,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No traffic control plan, no public protection measure, no maintenance-of-traffic record, no complaint from the public."
P14-REQ-014,Corrective & Preventive Action,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A corrective action is required to close an incident, and a deficiency requires a named verifier and a note. There is no CAPA register: no action with an owner and a due date separate from the record that raised it, no effectiveness verification afterwards, and no preventive action distinct from a corrective one."
