requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P18-REQ-001,Enterprise Scheduling Core,verified,built,,schedule calculation; resource/calendar context; baseline/update governance; permission boundaries; linked operational evidence; mapped test results,
P18-REQ-002,CPM Scheduling,verified,built,,schedule calculation; resource/calendar context; baseline/update governance; permission boundaries; linked operational evidence; mapped test results,
P18-REQ-003,Work Breakdown Structure,not_verified,partial,,schedule calculation; resource/calendar context; baseline/update governance; permission boundaries; linked operational evidence; mapped test results,"A WBS code is a text column on activities and tasks, and project tasks nest through parent_task_id. Schedule activities do not roll up: there are no summary activities, so a WBS level has no dates, duration or float of its own."
P18-REQ-004,Calendars & Shifts,not_verified,partial,,schedule calculation; resource/calendar context; baseline/update governance; permission boundaries; linked operational evidence; mapped test results,"Calendars are built, with holidays, exception working days and hours per day. A shift is a scalar; there is no second shift, no night differential, and no shift pattern an activity can be scheduled onto."
P18-REQ-005,Resource Planning,verified,built,,schedule calculation; resource/calendar context; baseline/update governance; permission boundaries; linked operational evidence; mapped test results,
P18-REQ-006,Resource Loading,not_verified,partial,,schedule calculation; resource/calendar context; baseline/update governance; permission boundaries; linked operational evidence; mapped test results,"Assignments carry an allocation fraction and dates, so demand is recorded and a machine cannot be double-booked. Nothing aggregates demand into a period-by-period load, and no resource declares a capacity to be loaded against, so there is no over-allocation to see."
P18-REQ-007,Resource Leveling,not_verified,not_built,,schedule calculation; resource/calendar context; baseline/update governance; permission boundaries; linked operational evidence; mapped test results,Nothing shifts activities within their float to smooth resource demand. Bid leveling exists in procurement and is a different thing entirely.
P18-REQ-008,Crew Planning,verified,built,,schedule calculation; resource/calendar context; baseline/update governance; permission boundaries; linked operational evidence; mapped test results,
P18-REQ-009,Equipment Planning,verified,built,,schedule calculation; resource/calendar context; baseline/update governance; permission boundaries; linked operational evidence; mapped test results,
P18-REQ-010,Truck & Haul Planning,not_verified,partial,,schedule calculation; resource/calendar context; baseline/update governance; permission boundaries; linked operational evidence; mapped test results,"The trucking engine computes cycle times, truck counts and haul cost for estimating. Nothing schedules hauls against the calendar or assigns trucks to days, so a haul plan is a cost figure rather than a plan."
