requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P30-REQ-001,SaaS Control Plane,not_verified,partial,,plan/version; tenant scope; entitlement or billing effect; lifecycle transition; audit evidence; failure/retry behavior; security boundary; mapped tests,"The pieces a control plane governs exist — catalog, versions, entitlements, provisioning, usage. There is no operator surface above them: no screen or API through which somebody running the platform administers tenants, grants, or plan publication."
P30-REQ-002,Tenant Lifecycle,not_verified,partial,,plan/version; tenant scope; entitlement or billing effect; lifecycle transition; audit evidence; failure/retry behavior; security boundary; mapped tests,"A company is provisioned with its owner, role, entitlement and trial in one governed call. Nothing suspends, offboards or deletes one: there is no end to the lifecycle, and no export before deletion."
P30-REQ-003,Plans & Packaging,verified,built,,plan/version; tenant scope; entitlement or billing effect; lifecycle transition; audit evidence; failure/retry behavior; security boundary; mapped tests,
P30-REQ-004,Product Catalog,verified,built,,plan/version; tenant scope; entitlement or billing effect; lifecycle transition; audit evidence; failure/retry behavior; security boundary; mapped tests,
P30-REQ-005,Pricing Models,not_verified,partial,,plan/version; tenant scope; entitlement or billing effect; lifecycle transition; audit evidence; failure/retry behavior; security boundary; mapped tests,"Per-seat licensed and metered usage types are both modeled, with monthly and annual intervals and quantity carried from Stripe. There is no tiered, graduated or volume pricing, and no overage rate for exceeding an allowance."
P30-REQ-006,Subscription Lifecycle,verified,built,,plan/version; tenant scope; entitlement or billing effect; lifecycle transition; audit evidence; failure/retry behavior; security boundary; mapped tests,
P30-REQ-007,Billing Accounts,not_verified,partial,,plan/version; tenant scope; entitlement or billing effect; lifecycle transition; audit evidence; failure/retry behavior; security boundary; mapped tests,"A Stripe customer id ties a company to its billing. There is no billing account of GrounUp's own: no billing contact distinct from the owner, no billing address, no purchase order number, no separate bill-to entity for a group."
P30-REQ-008,Invoices,verified,built,,plan/version; tenant scope; entitlement or billing effect; lifecycle transition; audit evidence; failure/retry behavior; security boundary; mapped tests,
P30-REQ-009,Payments,not_verified,partial,,plan/version; tenant scope; entitlement or billing effect; lifecycle transition; audit evidence; failure/retry behavior; security boundary; mapped tests,"The default payment method's brand and last four digits are carried for display, and payment success or failure moves the subscription status. No payment is recorded as an event, so there is no payment history independent of Stripe."
P30-REQ-010,Credits & Adjustments,not_verified,not_built,,plan/version; tenant scope; entitlement or billing effect; lifecycle transition; audit evidence; failure/retry behavior; security boundary; mapped tests,"No credit note, no manual adjustment, no goodwill credit. Nothing can reduce what a customer owes inside GrounUp."
