requirement_id,domain,aspect,verification,subject_exists,aspect_status,gap,evidence
GES-P10-REQ-001,Financial Core & Governance,tenant-scoped records,not_verified,partial,met,"Subject partial: Accounting periods now exist and are governed. A fiscal calendar beyond them, a chart of accounts, entities below the company, and currency handling beyond a column on a price do not.",
GES-P10-REQ-002,Financial Core & Governance,configurable approval thresholds and routing,not_verified,partial,not_met,"Approval tiers exist and, since migration 0033, configurable per-company signing thresholds govern change orders, contracts and claim settlements. Nothing of the kind exists for financial records: a pay application is approved by anyone holding finance.write regardless of its value, and there is no routing — no sequence of approvers, no delegation, no escalation. Subject partial: Accounting periods now exist and are governed. A fiscal calendar beyond them, a chart of accounts, entities below the company, and currency handling beyond a column on a price do not.",
GES-P10-REQ-003,Financial Core & Governance,immutable audit event for every action,not_verified,partial,not_met,"Create, update and delete are captured on every financial table by an append-only ledger recording prior and new state, and approve and post appear within it as updates. Export does not: nothing records that data left the platform, which is one of the seven actions this aspect names and the one an auditor asks about first. Reverse is not modeled as an action at all, because there is nothing to reverse. Subject partial: Accounting periods now exist and are governed. A fiscal calendar beyond them, a chart of accounts, entities below the company, and currency handling beyond a column on a price do not.",
GES-P10-REQ-004,Financial Core & Governance,role-based and attribute-based access control,not_verified,partial,met,"Subject partial: Accounting periods now exist and are governed. A fiscal calendar beyond them, a chart of accounts, entities below the company, and currency handling beyond a column on a price do not.",
GES-P10-REQ-005,Financial Core & Governance,"effective dating, versioning and historical reconstruction",not_verified,partial,not_met,"Library rates carry effective dating and row history, estimates carry versions with pinned library snapshots, and plans now carry versions. No financial record does: a pay application, a job cost and a payable each have one current state and no history beyond the audit ledger, so a prior period cannot be reconstructed as it stood. Subject partial: Accounting periods now exist and are governed. A fiscal calendar beyond them, a chart of accounts, entities below the company, and currency handling beyond a column on a price do not.",
GES-P10-REQ-006,Financial Core & Governance,source-to-ledger balance validation,not_verified,partial,not_met,"There is no ledger to balance to. Individual arithmetic is defended — a pay application cannot bill more than the contract sum plus approved changes, a work order's total is generated from its parts, an achieved production rate is a generated column — but no double entry exists and nothing can be unbalanced. Subject partial: Accounting periods now exist and are governed. A fiscal calendar beyond them, a chart of accounts, entities below the company, and currency handling beyond a column on a price do not.",
GES-P10-REQ-007,Financial Core & Governance,configurable statuses and state transitions,not_verified,partial,not_met,"Statuses are explicit and constrained, and transitions are enforced — a pay application cannot leave draft without a submission timestamp, a claim cannot advance past potential without a notice date, an executed change order cannot move back. None of it is configurable: the states and the transitions are in the schema, and a company cannot add a review step of its own. Subject partial: Accounting periods now exist and are governed. A fiscal calendar beyond them, a chart of accounts, entities below the company, and currency handling beyond a column on a price do not.",
GES-P10-REQ-008,Financial Core & Governance,governed APIs and event notifications,not_verified,partial,not_met,"Nine versioned endpoints sit behind a pure authorization function with one error shape, scoped API keys stored only as a hash, and an OpenAPI specification generated from the route table with drift failing the build — the API half is genuinely governed. The event half does not exist: there are no outbound webhooks and no event stream, so nothing outside the platform can be notified that a financial record changed. Subject partial: Accounting periods now exist and are governed. A fiscal calendar beyond them, a chart of accounts, entities below the company, and currency handling beyond a column on a price do not.",
GES-P10-REQ-009,Financial Core & Governance,"dashboards, drill-downs and exportable reports",not_verified,partial,not_met,"Dashboards and drill-downs exist as screens over five reporting views, each with security_invoker so a view can never become the way around row level security. Export does not exist anywhere in the platform: no export permission, no export path, and nothing that records an export having happened — the same absence P28 recorded. Subject partial: Accounting periods now exist and are governed. A fiscal calendar beyond them, a chart of accounts, entities below the company, and currency handling beyond a column on a price do not.",
GES-P10-REQ-010,Financial Core & Governance,"attachments, notes, evidence and source-document lineage",not_verified,partial,not_met,"Documents are versioned with supersession and a claim's citations are now integrity-checked against them. No financial record links to a document: an AP invoice cannot carry the invoice image it was entered from, and a pay application cannot carry the signed certificate. Lineage from a source document to a financial figure therefore stops at the operational record. Subject partial: Accounting periods now exist and are governed. A fiscal calendar beyond them, a chart of accounts, entities below the company, and currency handling beyond a column on a price do not.",
GES-P10-REQ-011,Financial Core & Governance,multi-company and intercompany processing,not_verified,partial,not_met,"Multi-company is the platform's foundation: companies, enterprise groups, corporate standard libraries with company overrides, and a plan limit on how many companies a subscription carries. Intercompany processing is absent — nothing records a transaction between two companies in a group, and there is no elimination or reconciliation between them. Subject partial: Accounting periods now exist and are governed. A fiscal calendar beyond them, a chart of accounts, entities below the company, and currency handling beyond a column on a price do not.",
GES-P10-REQ-012,Financial Core & Governance,configurable accounting dimensions,not_verified,partial,not_met,"The dimensions this aspect names mostly exist as columns: company, project, cost code, equipment, customer and vendor all appear on the records they belong to, and divisions and offices exist above the project. They are fixed columns rather than dimensions: a company cannot add one, and nothing lets a figure be sliced by a dimension the schema did not anticipate. Subject partial: Accounting periods now exist and are governed. A fiscal calendar beyond them, a chart of accounts, entities below the company, and currency handling beyond a column on a price do not.",
GES-P10-REQ-013,Financial Core & Governance,"duplicate, anomaly and policy-exception detection",not_verified,partial,not_met,"Three-way match compares an invoice against its purchase order and delivery and refuses a mismatch, which is one policy exception detected well. Nothing detects a duplicate invoice, an anomalous cost, a missing required field on an otherwise valid record, or a policy exception of any other kind. Subject partial: Accounting periods now exist and are governed. A fiscal calendar beyond them, a chart of accounts, entities below the company, and currency handling beyond a column on a price do not.",
