phase,phase_title,ui_id,name,domain,capabilities,form_factor
01,Governance,UI-P01-001,Governance Dashboard,,"Tenant status, access risk, pending approvals, policy status, exceptions, recent admin changes",
01,Governance,UI-P01-002,Organization Designer,,"Create and version company, office, department, and division hierarchy",
01,Governance,UI-P01-003,User Administration,,"Invite, activate, suspend, terminate, restore, and inspect users",
01,Governance,UI-P01-004,Role and Permission Studio,,"Create roles, assign permissions, inspect effective access, and identify conflicts",
01,Governance,UI-P01-005,Policy Center,,"Draft, review, publish, acknowledge, supersede, and retire policies",
01,Governance,UI-P01-006,Configuration Center,,"Define layered settings, preview effective values, compare scopes, and schedule changes",
01,Governance,UI-P01-007,Approval Administration,,"Configure approval policies, routing, delegations, thresholds, and escalation",
01,Governance,UI-P01-008,Audit Explorer,,"Search, filter, correlate, export, and review immutable events",
01,Governance,UI-P01-009,Records and Retention,,"Manage classifications, schedules, legal holds, disposition, and exceptions",
01,Governance,UI-P01-010,Change Control Board,,"Review impact, dependencies, approvals, implementation, verification, and closure",
01,Governance,UI-P01-011,Emergency Access Console,,"Approve, monitor, revoke, and review break-glass access",
01,Governance,UI-P01-012,AI Governance Queue,,"Review AI evidence, confidence, target diff, approval, and writeback status",
02,Core Platform,UI-P02-001,Platform Operations Dashboard,,"Service health, queue depth, failures, latency, capacity, and regional status",
02,Core Platform,UI-P02-002,Identity and Session Console,,"Sessions, devices, service identities, risks, revocation, and credential status",
02,Core Platform,UI-P02-003,File and Document Center,,"Upload, preview, version, classify, share, search, and inspect files",
02,Core Platform,UI-P02-004,Search Experience,,"Universal permission-aware search with filters, saved searches, and recent items",
02,Core Platform,UI-P02-005,Workflow Monitor,,"Inspect running, waiting, failed, compensated, and completed workflows",
02,Core Platform,UI-P02-006,Job and Scheduler Console,,"Schedules, background jobs, retries, progress, cancellation, and dead letters",
02,Core Platform,UI-P02-007,Integration Center,,"Connectors, credentials, mappings, webhooks, events, imports, exports, and health",
02,Core Platform,UI-P02-008,Mobile Sync Status,,"Offline packs, queued actions, conflicts, sync receipts, and device status",
02,Core Platform,UI-P02-009,Feature Flag Console,,"Targeting, rollout percentage, cohorts, metrics, pause, rollback, and history",
02,Core Platform,UI-P02-010,Configuration Explorer,,"Effective values, source layers, versions, validation, and change subscriptions",
02,Core Platform,UI-P02-011,Observability Explorer,,"Correlated logs, metrics, traces, alerts, and runbooks",
02,Core Platform,UI-P02-012,AI Platform Console,,"Agents, prompts, models, tools, evaluations, usage, costs, and execution logs",
03,Enterprise Data Model,UI-P03-001,Enterprise Data Catalog,,"Browse domains, entities, fields, relationships, ownership, classification, and versions",
03,Enterprise Data Model,UI-P03-002,Entity Definition Designer,,"Design and version fields, constraints, relationships, lifecycle, and API/event mappings",
03,Enterprise Data Model,UI-P03-003,Reference Data Manager,,"Manage reference sets, values, translations, effective dates, and deprecation",
03,Enterprise Data Model,UI-P03-004,Master Data Workbench,,"Create, validate, duplicate-check, merge, and govern parties and resource masters",
03,Enterprise Data Model,UI-P03-005,Data Quality Dashboard,,"Quality scores, rule failures, trends, exceptions, ownership, and remediation",
03,Enterprise Data Model,UI-P03-006,Lineage Explorer,,"Trace imported, calculated, converted, and AI-generated values to sources and logic",
03,Enterprise Data Model,UI-P03-007,Schema Change Console,,"Impact analysis, compatibility, migration, reconciliation, release, and rollback",
03,Enterprise Data Model,UI-P03-008,AI Writeback Review,,"Compare recommendation to current record, evidence, permissions, and proposed field changes",
05,Estimating Cost Intelligence,GES-P05-UI-001,Estimate Workspace,,"Tree, grid, detail panel, calculation trace and AI assistant.",
05,Estimating Cost Intelligence,GES-P05-UI-002,Quick Estimate,,Guided wizard for small contractors.,
05,Estimating Cost Intelligence,GES-P05-UI-003,Takeoff Studio,,"Document viewer, calibration, measurements, layers and revision compare.",
05,Estimating Cost Intelligence,GES-P05-UI-004,Cost Library Browser,,"Search, filter, compare and approve rates.",
05,Estimating Cost Intelligence,GES-P05-UI-005,Crew & Production Designer,,"Visual crew balance, bottleneck and duration modeling.",
05,Estimating Cost Intelligence,GES-P05-UI-006,Scenario Compare,,"Side-by-side cost, duration, risk and margin comparison.",
05,Estimating Cost Intelligence,GES-P05-UI-007,Estimate Review Center,,"Exceptions, assumptions, overrides, AI decisions and approvals.",
05,Estimating Cost Intelligence,GES-P05-UI-008,Field Actuals,,"Offline time, quantity, equipment, tickets, photos and notes.",
05,Estimating Cost Intelligence,GES-P05-UI-009,Configuration Studio,,"No-code fields, forms, workflows, rules, terminology and defaults.",
05,Estimating Cost Intelligence,GES-P05-UI-010,Brand Studio,,"Logo, theme, domain, emails, reports, portals and mobile branding.",
05,Estimating Cost Intelligence,GES-P05-UI-011,Executive Estimating Dashboard,,"Pipeline, win rate, margin, variance, risk and estimator performance.",
05,Estimating Cost Intelligence,GES-P05-UI-012,Customer Proposal Portal,,"Review scope, alternates, documents and electronic acceptance.",
06,AI Construction Intelligence,AI-UI-001,AI Workspace,,,
06,AI Construction Intelligence,AI-UI-002,Agent Catalog,,,
06,AI Construction Intelligence,AI-UI-003,Agent Builder Studio,,,
06,AI Construction Intelligence,AI-UI-004,Prompt Studio,,,
06,AI Construction Intelligence,AI-UI-005,Knowledge Center,,,
06,AI Construction Intelligence,AI-UI-006,Approval Inbox,,,
06,AI Construction Intelligence,AI-UI-007,AI Audit Explorer,,,
06,AI Construction Intelligence,AI-UI-008,Evaluation Dashboard,,,
06,AI Construction Intelligence,AI-UI-009,AI Usage and Cost Dashboard,,,
06,AI Construction Intelligence,AI-UI-010,AI Incident Console,,,
06,AI Construction Intelligence,AI-UI-011,Marketplace,,,
06,AI Construction Intelligence,AI-UI-012,Tenant AI Settings,,,
07,Enterprise Project Management,,Project Command Center,,"Project health, cost, schedule, risk, alerts, approvals, and actions",
07,Enterprise Project Management,,Project Setup Wizard,,"Award conversion, contract setup, WBS, budget, schedule, team, and templates",
07,Enterprise Project Management,,Schedule Workspace,,"Gantt, CPM, baselines, updates, look-ahead, constraints, and resources",
