entity_id,name,domain,definition,key,governance
P14-ENT-001,HSEQPlan,Safety Management,Canonical HSEQ entity for HSEQPlan.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-002,SafetyPlan,Incident & Near-Miss Management,Canonical HSEQ entity for SafetyPlan.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-003,EnvironmentalPlan,JHA/JSA & Pre-Task Planning,Canonical HSEQ entity for EnvironmentalPlan.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-004,QualityPlan,Permits to Work,Canonical HSEQ entity for QualityPlan.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-005,CompliancePlan,Training & Competency,Canonical HSEQ entity for CompliancePlan.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-006,Hazard,Environmental Management,Canonical HSEQ entity for Hazard.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-007,HazardCategory,Quality Management,Canonical HSEQ entity for HazardCategory.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-008,RiskAssessment,Compliance & Regulatory,Canonical HSEQ entity for RiskAssessment.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-009,RiskMatrix,Industrial Hygiene,Canonical HSEQ entity for RiskMatrix.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-010,ControlMeasure,Emergency Management,Canonical HSEQ entity for ControlMeasure.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-011,HierarchyOfControl,Subcontractor HSEQ,Canonical HSEQ entity for HierarchyOfControl.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-012,JHA,Equipment & Fleet Safety,Canonical HSEQ entity for JHA.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-013,JHARevision,Public & Traffic Safety,Canonical HSEQ entity for JHARevision.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-014,JHAAcknowledgement,Corrective & Preventive Action,Canonical HSEQ entity for JHAAcknowledgement.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-015,PreTaskPlan,Audit & Assurance,Canonical HSEQ entity for PreTaskPlan.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-016,ToolboxTalk,HSEQ Analytics,Canonical HSEQ entity for ToolboxTalk.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-017,SafetyMeeting,AI HSEQ Intelligence,Canonical HSEQ entity for SafetyMeeting.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-018,SafetyObservation,HSEQ Digital Twin,Canonical HSEQ entity for SafetyObservation.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-019,PositiveObservation,Safety Management,Canonical HSEQ entity for PositiveObservation.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-020,UnsafeCondition,Incident & Near-Miss Management,Canonical HSEQ entity for UnsafeCondition.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-021,UnsafeAct,JHA/JSA & Pre-Task Planning,Canonical HSEQ entity for UnsafeAct.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-022,StopWorkEvent,Permits to Work,Canonical HSEQ entity for StopWorkEvent.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-023,StopWorkRelease,Training & Competency,Canonical HSEQ entity for StopWorkRelease.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-024,Incident,Environmental Management,Canonical HSEQ entity for Incident.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-025,NearMiss,Quality Management,Canonical HSEQ entity for NearMiss.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-026,FirstAidCase,Compliance & Regulatory,Canonical HSEQ entity for FirstAidCase.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-027,RecordableCase,Industrial Hygiene,Canonical HSEQ entity for RecordableCase.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-028,LostTimeCase,Emergency Management,Canonical HSEQ entity for LostTimeCase.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-029,PropertyDamageEvent,Subcontractor HSEQ,Canonical HSEQ entity for PropertyDamageEvent.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-030,EnvironmentalIncident,Equipment & Fleet Safety,Canonical HSEQ entity for EnvironmentalIncident.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-031,QualityIncident,Public & Traffic Safety,Canonical HSEQ entity for QualityIncident.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-032,IncidentPerson,Corrective & Preventive Action,Canonical HSEQ entity for IncidentPerson.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-033,IncidentWitness,Audit & Assurance,Canonical HSEQ entity for IncidentWitness.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-034,IncidentStatement,HSEQ Analytics,Canonical HSEQ entity for IncidentStatement.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-035,IncidentPhoto,AI HSEQ Intelligence,Canonical HSEQ entity for IncidentPhoto.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-036,IncidentInvestigation,HSEQ Digital Twin,Canonical HSEQ entity for IncidentInvestigation.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-037,RootCause,Safety Management,Canonical HSEQ entity for RootCause.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-038,ContributingFactor,Incident & Near-Miss Management,Canonical HSEQ entity for ContributingFactor.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-039,CorrectiveAction,JHA/JSA & Pre-Task Planning,Canonical HSEQ entity for CorrectiveAction.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-040,PreventiveAction,Permits to Work,Canonical HSEQ entity for PreventiveAction.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-041,ActionVerification,Training & Competency,Canonical HSEQ entity for ActionVerification.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-042,ActionEffectivenessReview,Environmental Management,Canonical HSEQ entity for ActionEffectivenessReview.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-043,PermitToWork,Quality Management,Canonical HSEQ entity for PermitToWork.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-044,HotWorkPermit,Compliance & Regulatory,Canonical HSEQ entity for HotWorkPermit.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-045,ConfinedSpacePermit,Industrial Hygiene,Canonical HSEQ entity for ConfinedSpacePermit.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-046,ExcavationPermit,Emergency Management,Canonical HSEQ entity for ExcavationPermit.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-047,LiftPermit,Subcontractor HSEQ,Canonical HSEQ entity for LiftPermit.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-048,ElectricalPermit,Equipment & Fleet Safety,Canonical HSEQ entity for ElectricalPermit.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-049,LOTORecord,Public & Traffic Safety,Canonical HSEQ entity for LOTORecord.,tenant_id + record_id,Project/location scoped; audited; retention governed
P14-ENT-050,EnergyIsolationPoint,Corrective & Preventive Action,Canonical HSEQ entity for EnergyIsolationPoint.,tenant_id + record_id,Project/location scoped; audited; retention governed
