requirement_id,domain,priority,requirement,acceptance_criteria,version
P17-REQ-001,Machine Control Core,Must,"GrounUp shall provide governed machine control core capability 1 with project/machine scope, approved model revision, localization/reference metadata, permissions, safety controls, lineage and auditable field evidence.","Verify requirement 1 using approved design/localization inputs, compatible device context, safety and quality gates, operator authority, synchronization behavior and mapped test evidence.",v1.0.0
P17-REQ-002,GPS/GNSS Positioning,Must,"GrounUp shall provide governed gps/gnss positioning capability 2 with project/machine scope, approved model revision, localization/reference metadata, permissions, safety controls, lineage and auditable field evidence.","Verify requirement 2 using approved design/localization inputs, compatible device context, safety and quality gates, operator authority, synchronization behavior and mapped test evidence.",v1.0.0
P17-REQ-003,Localization & Calibration,Must,"GrounUp shall provide governed localization & calibration capability 3 with project/machine scope, approved model revision, localization/reference metadata, permissions, safety controls, lineage and auditable field evidence.","Verify requirement 3 using approved design/localization inputs, compatible device context, safety and quality gates, operator authority, synchronization behavior and mapped test evidence.",v1.0.0
P17-REQ-004,3D Models & Surfaces,Must,"GrounUp shall provide governed 3d models & surfaces capability 4 with project/machine scope, approved model revision, localization/reference metadata, permissions, safety controls, lineage and auditable field evidence.","Verify requirement 4 using approved design/localization inputs, compatible device context, safety and quality gates, operator authority, synchronization behavior and mapped test evidence.",v1.0.0
P17-REQ-005,2D Guidance,Must,"GrounUp shall provide governed 2d guidance capability 5 with project/machine scope, approved model revision, localization/reference metadata, permissions, safety controls, lineage and auditable field evidence.","Verify requirement 5 using approved design/localization inputs, compatible device context, safety and quality gates, operator authority, synchronization behavior and mapped test evidence.",v1.0.0
P17-REQ-006,3D Guidance,Must,"GrounUp shall provide governed 3d guidance capability 6 with project/machine scope, approved model revision, localization/reference metadata, permissions, safety controls, lineage and auditable field evidence.","Verify requirement 6 using approved design/localization inputs, compatible device context, safety and quality gates, operator authority, synchronization behavior and mapped test evidence.",v1.0.0
P17-REQ-007,Automatic Grade Control,Must,"GrounUp shall provide governed automatic grade control capability 7 with project/machine scope, approved model revision, localization/reference metadata, permissions, safety controls, lineage and auditable field evidence.","Verify requirement 7 using approved design/localization inputs, compatible device context, safety and quality gates, operator authority, synchronization behavior and mapped test evidence.",v1.0.0
P17-REQ-008,Excavator Guidance,Must,"GrounUp shall provide governed excavator guidance capability 8 with project/machine scope, approved model revision, localization/reference metadata, permissions, safety controls, lineage and auditable field evidence.","Verify requirement 8 using approved design/localization inputs, compatible device context, safety and quality gates, operator authority, synchronization behavior and mapped test evidence.",v1.0.0
P17-REQ-009,Dozer Guidance,Must,"GrounUp shall provide governed dozer guidance capability 9 with project/machine scope, approved model revision, localization/reference metadata, permissions, safety controls, lineage and auditable field evidence.","Verify requirement 9 using approved design/localization inputs, compatible device context, safety and quality gates, operator authority, synchronization behavior and mapped test evidence.",v1.0.0
P17-REQ-010,Grader Guidance,Must,"GrounUp shall provide governed grader guidance capability 10 with project/machine scope, approved model revision, localization/reference metadata, permissions, safety controls, lineage and auditable field evidence.","Verify requirement 10 using approved design/localization inputs, compatible device context, safety and quality gates, operator authority, synchronization behavior and mapped test evidence.",v1.0.0
P17-REQ-011,Compactor Guidance,Must,"GrounUp shall provide governed compactor guidance capability 11 with project/machine scope, approved model revision, localization/reference metadata, permissions, safety controls, lineage and auditable field evidence.","Verify requirement 11 using approved design/localization inputs, compatible device context, safety and quality gates, operator authority, synchronization behavior and mapped test evidence.",v1.0.0
P17-REQ-012,Loader & Material Handling,Must,"GrounUp shall provide governed loader & material handling capability 12 with project/machine scope, approved model revision, localization/reference metadata, permissions, safety controls, lineage and auditable field evidence.","Verify requirement 12 using approved design/localization inputs, compatible device context, safety and quality gates, operator authority, synchronization behavior and mapped test evidence.",v1.0.0
P17-REQ-013,Paver/Milling Guidance,Must,"GrounUp shall provide governed paver/milling guidance capability 13 with project/machine scope, approved model revision, localization/reference metadata, permissions, safety controls, lineage and auditable field evidence.","Verify requirement 13 using approved design/localization inputs, compatible device context, safety and quality gates, operator authority, synchronization behavior and mapped test evidence.",v1.0.0
P17-REQ-014,Trenching & Utilities,Must,"GrounUp shall provide governed trenching & utilities capability 14 with project/machine scope, approved model revision, localization/reference metadata, permissions, safety controls, lineage and auditable field evidence.","Verify requirement 14 using approved design/localization inputs, compatible device context, safety and quality gates, operator authority, synchronization behavior and mapped test evidence.",v1.0.0
P17-REQ-015,Road & Highway Machine Control,Must,"GrounUp shall provide governed road & highway machine control capability 15 with project/machine scope, approved model revision, localization/reference metadata, permissions, safety controls, lineage and auditable field evidence.","Verify requirement 15 using approved design/localization inputs, compatible device context, safety and quality gates, operator authority, synchronization behavior and mapped test evidence.",v1.0.0
P17-REQ-016,Site Models & Job Files,Must,"GrounUp shall provide governed site models & job files capability 16 with project/machine scope, approved model revision, localization/reference metadata, permissions, safety controls, lineage and auditable field evidence.","Verify requirement 16 using approved design/localization inputs, compatible device context, safety and quality gates, operator authority, synchronization behavior and mapped test evidence.",v1.0.0
P17-REQ-017,Field Data Sync,Must,"GrounUp shall provide governed field data sync capability 17 with project/machine scope, approved model revision, localization/reference metadata, permissions, safety controls, lineage and auditable field evidence.","Verify requirement 17 using approved design/localization inputs, compatible device context, safety and quality gates, operator authority, synchronization behavior and mapped test evidence.",v1.0.0
