kpi_id,name,domain,definition,cadence,governance
P17-KPI-001,Approved Model Compliance,Machine Control Core,Governed metric definition for Approved Model Compliance.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-002,Current Job Revision Compliance,GPS/GNSS Positioning,Governed metric definition for Current Job Revision Compliance.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-003,Localization Verification %,Localization & Calibration,Governed metric definition for Localization Verification %.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-004,Calibration Residual Pass Rate,3D Models & Surfaces,Governed metric definition for Calibration Residual Pass Rate.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-005,CRS/Datum Metadata Completeness,2D Guidance,Governed metric definition for CRS/Datum Metadata Completeness.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-006,Device Compatibility Pass Rate,3D Guidance,Governed metric definition for Device Compatibility Pass Rate.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-007,Firmware Compliance %,Automatic Grade Control,Governed metric definition for Firmware Compliance %.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-008,Operator Authorization %,Excavator Guidance,Governed metric definition for Operator Authorization %.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-009,Job Acknowledgement %,Dozer Guidance,Governed metric definition for Job Acknowledgement %.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-010,Position Quality Pass Rate,Grader Guidance,Governed metric definition for Position Quality Pass Rate.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-011,RTK/Correction Availability,Compactor Guidance,Governed metric definition for RTK/Correction Availability.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-012,Guidance Session Availability,Loader & Material Handling,Governed metric definition for Guidance Session Availability.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-013,Auto-Control Utilization,Paver/Milling Guidance,Governed metric definition for Auto-Control Utilization.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-014,Manual Override Rate,Trenching & Utilities,Governed metric definition for Manual Override Rate.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-015,Cut/Fill Accuracy,Road & Highway Machine Control,Governed metric definition for Cut/Fill Accuracy.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-016,Finish Grade Conformance,Site Models & Job Files,Governed metric definition for Finish Grade Conformance.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-017,Cross-Slope Conformance,Field Data Sync,Governed metric definition for Cross-Slope Conformance.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-018,Excavator Depth Accuracy,Machine Telemetry Integration,Governed metric definition for Excavator Depth Accuracy.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-019,Dozer Grade Accuracy,Operator Interface,Governed metric definition for Dozer Grade Accuracy.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
