Source,Depends_On,Dependency_Type,Status
EDM-000001,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000002,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000003,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000004,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000005,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000006,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000007,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000008,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000009,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000010,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000011,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000012,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000013,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000014,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000015,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000016,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000017,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000018,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000019,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000020,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000021,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000022,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000023,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000024,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000025,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000026,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000027,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000028,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000029,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000030,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000031,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000032,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000033,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000034,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000035,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000036,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000037,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000038,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000039,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000040,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000041,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000042,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000043,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000044,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000045,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000046,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000047,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000048,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000049,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000050,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000051,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000052,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000053,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000054,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000055,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000056,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000057,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000058,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000059,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000060,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000061,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000062,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000063,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000064,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000065,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000066,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000067,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000068,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000069,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000070,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000071,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000072,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000073,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000074,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
EDM-000075,Phase 01 Governance; Phase 02 Core Platform,Phase dependency,Satisfied by current baselines
