ui_id,name,domain,capabilities,form_factor
P15-UI-001,Information Management Home,Document Control,Permission-aware; revision banner; full-text/metadata search; responsive; evidence/audit access; accessibility,Web/tablet/mobile/guest as applicable
P15-UI-002,Document Register,Drawing Management,Permission-aware; revision banner; full-text/metadata search; responsive; evidence/audit access; accessibility,Web/tablet/mobile/guest as applicable
P15-UI-003,Drawing Register,Specification Management,Permission-aware; revision banner; full-text/metadata search; responsive; evidence/audit access; accessibility,Web/tablet/mobile/guest as applicable
P15-UI-004,Specification Register,Submittals,Permission-aware; revision banner; full-text/metadata search; responsive; evidence/audit access; accessibility,Web/tablet/mobile/guest as applicable
P15-UI-005,Current Drawing Set,RFIs,Permission-aware; revision banner; full-text/metadata search; responsive; evidence/audit access; accessibility,Web/tablet/mobile/guest as applicable
P15-UI-006,Document Viewer,Transmittals & Distribution,Permission-aware; revision banner; full-text/metadata search; responsive; evidence/audit access; accessibility,Web/tablet/mobile/guest as applicable
P15-UI-007,Drawing Viewer & Markup,Correspondence & Records,Permission-aware; revision banner; full-text/metadata search; responsive; evidence/audit access; accessibility,Web/tablet/mobile/guest as applicable
P15-UI-008,Revision Compare,Version & Revision Control,Permission-aware; revision banner; full-text/metadata search; responsive; evidence/audit access; accessibility,Web/tablet/mobile/guest as applicable
P15-UI-009,Specification Compare,Markup & Review,Permission-aware; revision banner; full-text/metadata search; responsive; evidence/audit access; accessibility,Web/tablet/mobile/guest as applicable
P15-UI-010,Submittal Center,OCR & Content Extraction,Permission-aware; revision banner; full-text/metadata search; responsive; evidence/audit access; accessibility,Web/tablet/mobile/guest as applicable
P15-UI-011,RFI Center,Plan & Spec Intelligence,Permission-aware; revision banner; full-text/metadata search; responsive; evidence/audit access; accessibility,Web/tablet/mobile/guest as applicable
P15-UI-012,Transmittal Center,Document Search & Retrieval,Permission-aware; revision banner; full-text/metadata search; responsive; evidence/audit access; accessibility,Web/tablet/mobile/guest as applicable
P15-UI-013,Correspondence Center,Records Retention & Legal Hold,Permission-aware; revision banner; full-text/metadata search; responsive; evidence/audit access; accessibility,Web/tablet/mobile/guest as applicable
P15-UI-014,Review & Approval Inbox,External Collaboration,Permission-aware; revision banner; full-text/metadata search; responsive; evidence/audit access; accessibility,Web/tablet/mobile/guest as applicable
P15-UI-015,Markup Sessions,Field Document Access,Permission-aware; revision banner; full-text/metadata search; responsive; evidence/audit access; accessibility,Web/tablet/mobile/guest as applicable
P15-UI-016,Issue & Coordination Center,BIM/CDE Coordination,Permission-aware; revision banner; full-text/metadata search; responsive; evidence/audit access; accessibility,Web/tablet/mobile/guest as applicable
P15-UI-017,OCR/Classification Review,Closeout & Turnover,Permission-aware; revision banner; full-text/metadata search; responsive; evidence/audit access; accessibility,Web/tablet/mobile/guest as applicable
