rule_id,domain,name,rule,severity
P16-BR-001,GIS Core,Spatial control rule 1,"Spatial operation 1 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-002,Coordinate Reference Systems,Spatial control rule 2,"Spatial operation 2 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-003,Survey Control,Spatial control rule 3,"Spatial operation 3 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-004,GNSS Survey,Spatial control rule 4,"Spatial operation 4 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-005,Total Station Survey,Spatial control rule 5,"Spatial operation 5 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-006,Digital Levels,Spatial control rule 6,"Spatial operation 6 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-007,Construction Layout,Spatial control rule 7,"Spatial operation 7 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-008,Topographic Survey,Spatial control rule 8,"Spatial operation 8 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-009,Existing Conditions,Spatial control rule 9,"Spatial operation 9 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-010,Drone Operations,Spatial control rule 10,"Spatial operation 10 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-011,Photogrammetry,Spatial control rule 11,"Spatial operation 11 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-012,LiDAR Reality Capture,Spatial control rule 12,"Spatial operation 12 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-013,Point Cloud Management,Spatial control rule 13,"Spatial operation 13 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-014,Orthomosaic Management,Spatial control rule 14,"Spatial operation 14 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-015,Surface & Terrain Models,Spatial control rule 15,"Spatial operation 15 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-016,Volumes & Earthwork,Spatial control rule 16,"Spatial operation 16 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-017,Progress & Change Detection,Spatial control rule 17,"Spatial operation 17 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-018,Corridor & Linear Infrastructure,Spatial control rule 18,"Spatial operation 18 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-019,Utility Mapping,Spatial control rule 19,"Spatial operation 19 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-020,GIS Field Collection,Spatial control rule 20,"Spatial operation 20 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-021,Reality Capture QA/QC,Spatial control rule 21,"Spatial operation 21 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-022,Geofencing & Location Intelligence,Spatial control rule 22,"Spatial operation 22 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-023,Drone Media & Inspection,Spatial control rule 23,"Spatial operation 23 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-024,Regulatory & Flight Compliance,Spatial control rule 24,"Spatial operation 24 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-025,Survey Deliverables,Spatial control rule 25,"Spatial operation 25 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-026,Machine Control Handoff,Spatial control rule 26,"Spatial operation 26 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-027,Spatial Analytics,Spatial control rule 27,"Spatial operation 27 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-028,AI Geospatial Intelligence,Spatial control rule 28,"Spatial operation 28 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-029,Geospatial Digital Twin,Spatial control rule 29,"Spatial operation 29 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-030,GIS Core,Spatial control rule 30,"Spatial operation 30 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-031,Coordinate Reference Systems,Spatial control rule 31,"Spatial operation 31 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-032,Survey Control,Spatial control rule 32,"Spatial operation 32 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-033,GNSS Survey,Spatial control rule 33,"Spatial operation 33 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-034,Total Station Survey,Spatial control rule 34,"Spatial operation 34 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-035,Digital Levels,Spatial control rule 35,"Spatial operation 35 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-036,Construction Layout,Spatial control rule 36,"Spatial operation 36 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-037,Topographic Survey,Spatial control rule 37,"Spatial operation 37 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-038,Existing Conditions,Spatial control rule 38,"Spatial operation 38 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-039,Drone Operations,Spatial control rule 39,"Spatial operation 39 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-040,Photogrammetry,Spatial control rule 40,"Spatial operation 40 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-041,LiDAR Reality Capture,Spatial control rule 41,"Spatial operation 41 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-042,Point Cloud Management,Spatial control rule 42,"Spatial operation 42 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-043,Orthomosaic Management,Spatial control rule 43,"Spatial operation 43 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-044,Surface & Terrain Models,Spatial control rule 44,"Spatial operation 44 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-045,Volumes & Earthwork,Spatial control rule 45,"Spatial operation 45 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-046,Progress & Change Detection,Spatial control rule 46,"Spatial operation 46 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-047,Corridor & Linear Infrastructure,Spatial control rule 47,"Spatial operation 47 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-048,Utility Mapping,Spatial control rule 48,"Spatial operation 48 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-049,GIS Field Collection,Spatial control rule 49,"Spatial operation 49 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-050,Reality Capture QA/QC,Spatial control rule 50,"Spatial operation 50 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Blocking
P16-BR-051,Geofencing & Location Intelligence,Spatial control rule 51,"Spatial operation 51 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Advisory
P16-BR-052,Drone Media & Inspection,Spatial control rule 52,"Spatial operation 52 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Advisory
P16-BR-053,Regulatory & Flight Compliance,Spatial control rule 53,"Spatial operation 53 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Advisory
P16-BR-054,Survey Deliverables,Spatial control rule 54,"Spatial operation 54 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Advisory
P16-BR-055,Machine Control Handoff,Spatial control rule 55,"Spatial operation 55 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Advisory
P16-BR-056,Spatial Analytics,Spatial control rule 56,"Spatial operation 56 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Advisory
P16-BR-057,AI Geospatial Intelligence,Spatial control rule 57,"Spatial operation 57 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Advisory
P16-BR-058,Geospatial Digital Twin,Spatial control rule 58,"Spatial operation 58 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Advisory
P16-BR-059,GIS Core,Spatial control rule 59,"Spatial operation 59 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Advisory
P16-BR-060,Coordinate Reference Systems,Spatial control rule 60,"Spatial operation 60 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Advisory
P16-BR-061,Survey Control,Spatial control rule 61,"Spatial operation 61 shall preserve source CRS/datum/unit metadata, transformation lineage, quality evidence, version history and authorized project scope.",Advisory
