engine_id,name,type,purpose,governance
P16-ENG-001,Coordinate Transformation Engine,Deterministic,"Provides coordinate transformation engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-002,Datum/Geoid Resolution Engine,Deterministic,"Provides datum/geoid resolution engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-003,Geometry Validation Engine,Deterministic,"Provides geometry validation engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-004,Topology Validation Engine,Deterministic,"Provides topology validation engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-005,Spatial Index Engine,Deterministic,"Provides spatial index engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-006,Survey Control Engine,Deterministic,"Provides survey control engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-007,Network Adjustment Engine,Deterministic,"Provides network adjustment engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-008,Closure Calculation Engine,Deterministic,"Provides closure calculation engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-009,GNSS Quality Engine,Deterministic,"Provides gnss quality engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-010,RTK/RTN Validation Engine,Deterministic,"Provides rtk/rtn validation engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-011,Total Station Reduction Engine,Deterministic,"Provides total station reduction engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-012,Level Closure Engine,Deterministic,"Provides level closure engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-013,Stakeout Calculation Engine,Deterministic,"Provides stakeout calculation engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-014,Station/Offset Engine,Deterministic,"Provides station/offset engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-015,Feature Coding Engine,Deterministic,"Provides feature coding engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-016,Photogrammetry Alignment Engine,Deterministic,"Provides photogrammetry alignment engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-017,Ground Control Adjustment Engine,Deterministic,"Provides ground control adjustment engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-018,Orthomosaic Engine,Deterministic,"Provides orthomosaic engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-019,LiDAR Trajectory Engine,Deterministic,"Provides lidar trajectory engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-020,Point Cloud Registration Engine,Deterministic,"Provides point cloud registration engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-021,Point Classification Engine,Deterministic,"Provides point classification engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-022,Surface/TIN Engine,Deterministic,"Provides surface/tin engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-023,Contour Engine,Deterministic,"Provides contour engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-024,Cross-Section Engine,Deterministic,"Provides cross-section engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-025,Profile Engine,Deterministic,"Provides profile engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-026,Cut/Fill Engine,Deterministic,"Provides cut/fill engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-027,Stockpile Volume Engine,Deterministic,"Provides stockpile volume engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-028,Swell/Shrink Conversion Engine,Deterministic,"Provides swell/shrink conversion engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-029,Progress Comparison Engine,Deterministic,"Provides progress comparison engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-030,Change Detection Engine,Deterministic,"Provides change detection engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-031,Geofence Engine,Deterministic,"Provides geofence engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-032,Route/Proximity Engine,Deterministic,"Provides route/proximity engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-033,Spatial Join Engine,Deterministic,"Provides spatial join engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-034,Field Offline Sync Engine,Deterministic,"Provides field offline sync engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-035,Flight Planning Engine,Deterministic,"Provides flight planning engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-036,Flight Compliance Engine,Deterministic,"Provides flight compliance engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-037,Battery Readiness Engine,Deterministic,"Provides battery readiness engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-038,Payload Readiness Engine,Deterministic,"Provides payload readiness engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-039,Reality Capture QA Engine,Deterministic,"Provides reality capture qa engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-040,RMSE/Accuracy Engine,Deterministic,"Provides rmse/accuracy engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-041,Machine Control Handoff Validator,Deterministic,"Provides machine control handoff validator using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-042,Survey Deliverable Engine,Deterministic,"Provides survey deliverable engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-043,Spatial KPI Engine,Deterministic,"Provides spatial kpi engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-044,Feature Recognition Engine,AI-assisted,"Provides feature recognition engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-045,Terrain Anomaly Engine,AI-assisted,"Provides terrain anomaly engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-046,AI Change Detection Engine,AI-assisted,"Provides ai change detection engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-047,Evidence Retrieval Engine,AI-assisted,"Provides evidence retrieval engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-048,AI Confidence Engine,AI-assisted,"Provides ai confidence engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
P16-ENG-049,Geospatial Digital Twin Engine,AI-assisted,"Provides geospatial digital twin engine using governed spatial inputs, reference systems, quality criteria and lineage.","AI cannot certify survey accuracy, approve regulated flight authority, or publish machine-control deliverables without required human approval"
