kpi_id,name,domain,definition,cadence,governance
P16-KPI-001,Control Point Verification %,GIS Core,Governed metric definition for Control Point Verification %.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-002,Survey Closure Pass Rate,Coordinate Reference Systems,Governed metric definition for Survey Closure Pass Rate.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-003,GNSS Fix Quality %,Survey Control,Governed metric definition for GNSS Fix Quality %.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-004,Horizontal Accuracy Pass Rate,GNSS Survey,Governed metric definition for Horizontal Accuracy Pass Rate.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-005,Vertical Accuracy Pass Rate,Total Station Survey,Governed metric definition for Vertical Accuracy Pass Rate.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-006,Stakeout Verification %,Digital Levels,Governed metric definition for Stakeout Verification %.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-007,Survey Rework Rate,Construction Layout,Governed metric definition for Survey Rework Rate.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-008,Topo Completeness,Topographic Survey,Governed metric definition for Topo Completeness.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-009,Utility Confidence Coverage,Existing Conditions,Governed metric definition for Utility Confidence Coverage.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-010,Drone Mission Completion,Drone Operations,Governed metric definition for Drone Mission Completion.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-011,Flight Compliance %,Photogrammetry,Governed metric definition for Flight Compliance %.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-012,Preflight Checklist Completion,LiDAR Reality Capture,Governed metric definition for Preflight Checklist Completion.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-013,Battery Readiness %,Point Cloud Management,Governed metric definition for Battery Readiness %.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-014,Mission Reflight Rate,Orthomosaic Management,Governed metric definition for Mission Reflight Rate.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-015,Photogrammetry RMSE,Surface & Terrain Models,Governed metric definition for Photogrammetry RMSE.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-016,LiDAR RMSE,Volumes & Earthwork,Governed metric definition for LiDAR RMSE.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-017,Point Cloud Density Compliance,Progress & Change Detection,Governed metric definition for Point Cloud Density Compliance.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-018,Point Cloud Classification QA,Corridor & Linear Infrastructure,Governed metric definition for Point Cloud Classification QA.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-019,Orthomosaic GSD Compliance,Utility Mapping,Governed metric definition for Orthomosaic GSD Compliance.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-020,Surface QA Pass Rate,GIS Field Collection,Governed metric definition for Surface QA Pass Rate.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-021,Cut/Fill Quantity Confidence,Reality Capture QA/QC,Governed metric definition for Cut/Fill Quantity Confidence.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-022,Stockpile Volume Accuracy,Geofencing & Location Intelligence,Governed metric definition for Stockpile Volume Accuracy.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-023,Progress Capture Frequency,Drone Media & Inspection,Governed metric definition for Progress Capture Frequency.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-024,Change Detection Review Closure,Regulatory & Flight Compliance,Governed metric definition for Change Detection Review Closure.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-025,Field GIS Sync Success,Survey Deliverables,Governed metric definition for Field GIS Sync Success.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-026,Offline Map Currency,Machine Control Handoff,Governed metric definition for Offline Map Currency.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-027,Geofence Alert Closure,Spatial Analytics,Governed metric definition for Geofence Alert Closure.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-028,Survey Deliverable On-Time %,AI Geospatial Intelligence,Governed metric definition for Survey Deliverable On-Time %.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-029,Machine Control Handoff Pass Rate,Geospatial Digital Twin,Governed metric definition for Machine Control Handoff Pass Rate.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-030,Coordinate Transformation Exceptions,GIS Core,Governed metric definition for Coordinate Transformation Exceptions.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-031,Datum/Geoid Metadata Completeness,Coordinate Reference Systems,Governed metric definition for Datum/Geoid Metadata Completeness.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-032,Spatial Data Quality Pass Rate,Survey Control,Governed metric definition for Spatial Data Quality Pass Rate.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-033,Spatial Layer Freshness,GNSS Survey,Governed metric definition for Spatial Layer Freshness.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-034,Control Network Freshness,Total Station Survey,Governed metric definition for Control Network Freshness.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-035,Reality Capture Processing Cycle Time,Digital Levels,Governed metric definition for Reality Capture Processing Cycle Time.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-036,Reality Capture QA Cycle Time,Construction Layout,Governed metric definition for Reality Capture QA Cycle Time.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-037,Drone Utilization,Topographic Survey,Governed metric definition for Drone Utilization.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-038,Pilot Qualification Compliance,Existing Conditions,Governed metric definition for Pilot Qualification Compliance.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-039,Aircraft Maintenance Compliance,Drone Operations,Governed metric definition for Aircraft Maintenance Compliance.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-040,Spatial Query Performance,Photogrammetry,Governed metric definition for Spatial Query Performance.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-041,Map Adoption,LiDAR Reality Capture,Governed metric definition for Map Adoption.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-042,Spatial Analytics Adoption,Point Cloud Management,Governed metric definition for Spatial Analytics Adoption.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-043,AI Feature Detection Acceptance,Orthomosaic Management,Governed metric definition for AI Feature Detection Acceptance.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-044,AI Change Detection Acceptance,Surface & Terrain Models,Governed metric definition for AI Change Detection Acceptance.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-045,AI Evidence Coverage,Volumes & Earthwork,Governed metric definition for AI Evidence Coverage.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-046,Geospatial Digital Twin Freshness,Progress & Change Detection,Governed metric definition for Geospatial Digital Twin Freshness.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-047,Spatial Data Storage Growth,Corridor & Linear Infrastructure,Governed metric definition for Spatial Data Storage Growth.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
P16-KPI-048,Survey Cost per Project,Utility Mapping,Governed metric definition for Survey Cost per Project.,Daily/Weekly/Monthly,"Certified definition, spatial scope and owner required"
