ui_id,name,domain,capabilities,form_factor
P16-UI-001,Geospatial Command Center,GIS Core,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-002,Enterprise Map,Coordinate Reference Systems,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-003,Project Map,Survey Control,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-004,Layer Catalog,GNSS Survey,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-005,Spatial Search,Total Station Survey,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-006,CRS & Datum Manager,Digital Levels,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-007,Survey Control Register,Construction Layout,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-008,Control Network Workspace,Topographic Survey,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-009,GNSS Survey Workspace,Existing Conditions,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-010,Total Station Workspace,Drone Operations,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-011,Leveling Workspace,Photogrammetry,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-012,Construction Layout Center,LiDAR Reality Capture,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-013,Stakeout Mobile,Point Cloud Management,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-014,Topographic Survey Mobile,Orthomosaic Management,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-015,Existing Conditions Map,Surface & Terrain Models,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-016,Utility Mapping Center,Volumes & Earthwork,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-017,Drone Operations Center,Progress & Change Detection,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-018,Mission Planner,Corridor & Linear Infrastructure,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-019,Flight Compliance Center,Utility Mapping,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-020,Aircraft & Payload Register,GIS Field Collection,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
