field_id,field_name,domain,type,required,definition,validation
P15-FLD-001,tenant_id,Document Control,string/number/date/boolean,Conditional,Governed document-information field tenant_id.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-002,organization_id,Drawing Management,string/number/date/boolean,Conditional,Governed document-information field organization_id.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-003,project_id,Specification Management,string/number/date/boolean,Conditional,Governed document-information field project_id.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-004,record_id,Submittals,string/number/date/boolean,Conditional,Governed document-information field record_id.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-005,document_id,RFIs,string/number/date/boolean,Conditional,Governed document-information field document_id.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-006,document_number,Transmittals & Distribution,string/number/date/boolean,Conditional,Governed document-information field document_number.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-007,title,Correspondence & Records,string/number/date/boolean,Conditional,Governed document-information field title.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-008,description,Version & Revision Control,string/number/date/boolean,Conditional,Governed document-information field description.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-009,document_type,Markup & Review,string/number/date/boolean,Conditional,Governed document-information field document_type.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-010,discipline,OCR & Content Extraction,string/number/date/boolean,Conditional,Governed document-information field discipline.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-011,status,Plan & Spec Intelligence,string/number/date/boolean,Conditional,Governed document-information field status.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-012,revision,Document Search & Retrieval,string/number/date/boolean,Conditional,Governed document-information field revision.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-013,version,Records Retention & Legal Hold,string/number/date/boolean,Conditional,Governed document-information field version.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-014,issue_purpose,External Collaboration,string/number/date/boolean,Conditional,Governed document-information field issue_purpose.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-015,effective_at,Field Document Access,string/number/date/boolean,Conditional,Governed document-information field effective_at.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-016,superseded_at,BIM/CDE Coordination,string/number/date/boolean,Conditional,Governed document-information field superseded_at.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-017,created_at,Closeout & Turnover,string/number/date/boolean,Conditional,Governed document-information field created_at.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-018,created_by,Document Intelligence Digital Twin,string/number/date/boolean,Conditional,Governed document-information field created_by.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-019,updated_at,Document Control,string/number/date/boolean,Conditional,Governed document-information field updated_at.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-020,updated_by,Drawing Management,string/number/date/boolean,Conditional,Governed document-information field updated_by.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-021,file_name,Specification Management,string/number/date/boolean,Conditional,Governed document-information field file_name.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-022,file_format,Submittals,string/number/date/boolean,Conditional,Governed document-information field file_format.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-023,file_size,RFIs,string/number/date/boolean,Conditional,Governed document-information field file_size.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-024,checksum,Transmittals & Distribution,string/number/date/boolean,Conditional,Governed document-information field checksum.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-025,storage_uri,Correspondence & Records,string/number/date/boolean,Conditional,Governed document-information field storage_uri.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-026,preview_uri,Version & Revision Control,string/number/date/boolean,Conditional,Governed document-information field preview_uri.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
P15-FLD-027,ocr_status,Markup & Review,string/number/date/boolean,Conditional,Governed document-information field ocr_status.,"Validate type, tenant/project scope, permissions, revision state and applicable references"
