Entity_ID,Name,Purpose,Key_Attributes,Relationships,Lifecycle,Owner,Classification
ENT-P01-001,Tenant,Top-level security and commercial boundary,tenant_id; tenant_key; legal_name; status; region; default_currency; default_units,"OrganizationUnit, User, Role, Policy, Configuration",provisioning; active; suspended; closed,Platform Administration,Restricted
ENT-P01-002,OrganizationUnit,"Hierarchical company, office, department, or division",organization_unit_id; tenant_id; type; name; parent_id; effective dates,"Tenant, Project Scope, User Assignment",draft; active; inactive; superseded,Platform Administration,Internal
ENT-P01-003,UserIdentity,Human or service identity,user_id; tenant_id; identity_type; email; status; provider; last_login,"RoleAssignment, Session, Device, AuditEvent",invited; active; suspended; terminated,Identity Administration,Restricted
ENT-P01-004,Role,Named collection of permission grants,role_id; tenant_id; role_key; name; type; status,"PermissionGrant, RoleAssignment",draft; active; deprecated,Security Governance,Internal
ENT-P01-005,Permission,Atomic allowed action,permission_id; resource; action; risk_level; system_owned,PermissionGrant,active; deprecated,Security Governance,Internal
ENT-P01-006,RoleAssignment,Assignment of role to identity and scope,assignment_id; user_id; role_id; scope_type; scope_id; effective dates,"UserIdentity, Role, OrganizationUnit",pending; active; expired; revoked,Security Governance,Restricted
ENT-P01-007,Policy,Governed policy identity,policy_id; policy_key; owner; category; scope_type,PolicyVersion,draft; active; retired,Compliance Governance,Internal
ENT-P01-008,PolicyVersion,Versioned policy content and applicability,policy_version_id; policy_id; version; effective dates; content_uri; acknowledgment_required,"Policy, PolicyAcknowledgment",draft; review; approved; active; superseded,Compliance Governance,Confidential
ENT-P01-009,PolicyAcknowledgment,User acknowledgment evidence,ack_id; policy_version_id; user_id; acknowledged_at; method,"PolicyVersion, UserIdentity",recorded; revoked,Compliance Governance,Restricted
ENT-P01-010,ConfigurationDefinition,Definition of a configurable key,config_definition_id; key; data_type; allowed_layers; default; validation,ConfigurationValue,draft; active; deprecated,Platform Administration,Internal
ENT-P01-011,ConfigurationValue,Value at a particular scope and time,config_value_id; definition_id; layer; scope_id; value; effective dates,ConfigurationDefinition,draft; active; superseded,Platform Administration,Confidential
ENT-P01-012,ApprovalPolicy,Rules for approval routing,approval_policy_id; object_type; conditions; stages; required roles,ApprovalRequest,draft; active; retired,Workflow Governance,Confidential
ENT-P01-013,ApprovalRequest,Instance requiring governed decision,approval_request_id; object_ref; requester; status; amount; risk,"ApprovalDecision, Delegation",pending; approved; rejected; cancelled; expired,Workflow Governance,Confidential
ENT-P01-014,ApprovalDecision,Immutable approval action,decision_id; request_id; approver; decision; comments; decided_at,ApprovalRequest,approved; rejected; abstained,Workflow Governance,Confidential
ENT-P01-015,Delegation,Temporary authority delegation,delegation_id; delegator; delegate; scope; limits; effective dates,"UserIdentity, ApprovalRequest",draft; active; expired; revoked,Workflow Governance,Restricted
ENT-P01-016,AuditEvent,Immutable governance event,audit_event_id; tenant_id; actor; action; object; occurred_at; correlation_id; payload_hash,All governed entities,recorded; archived,Audit Governance,Restricted
ENT-P01-017,DataClassification,Governed classification and handling rules,classification_id; name; rank; handling_policy,Entity/Field metadata,draft; active; retired,Data Governance,Internal
ENT-P01-018,RetentionSchedule,Retention trigger and duration by record class,retention_schedule_id; record_class; trigger; duration; disposition,"LegalHold, governed record",draft; active; retired,Records Governance,Confidential
ENT-P01-019,LegalHold,Matter-based preservation requirement,legal_hold_id; matter_reference; scope; issued_at; released_at,"RetentionSchedule, governed record",active; released,Records Governance,Highly Confidential
ENT-P01-020,ChangeRequest,Controlled change to locked or governed artifacts,change_request_id; object_ref; reason; impact; migration; rollback; status,"ApprovalRequest, AuditEvent",draft; submitted; approved; rejected; implemented; closed,Change Control Board,Confidential
ENT-P01-021,EmergencyAccessGrant,Time-limited elevated access,grant_id; user_id; reason; approved_by; effective dates; scope,"UserIdentity, AuditEvent",requested; approved; active; expired; revoked; reviewed,Security Governance,Highly Confidential
ENT-P01-022,Entitlement,Tenant capability entitlement,entitlement_id; tenant_id; feature_key; limits; effective dates; status,Tenant,pending; active; suspended; expired,Commercial Operations,Confidential
ENT-P01-023,AdministrativeCase,Governance exception or review case,case_id; type; severity; owner; related_refs; status,"AuditEvent, UserIdentity",open; investigating; remediated; closed,Risk and Compliance,Confidential
