field_id,field_name,domain,type,required,definition,validation
P18-FLD-001,tenant_id,Enterprise Scheduling Core,string/number/date/boolean,Conditional,Governed scheduling field tenant_id.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-002,organization_id,CPM Scheduling,string/number/date/boolean,Conditional,Governed scheduling field organization_id.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-003,portfolio_id,Work Breakdown Structure,string/number/date/boolean,Conditional,Governed scheduling field portfolio_id.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-004,program_id,Calendars & Shifts,string/number/date/boolean,Conditional,Governed scheduling field program_id.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-005,project_id,Resource Planning,string/number/date/boolean,Conditional,Governed scheduling field project_id.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-006,schedule_id,Resource Loading,string/number/date/boolean,Conditional,Governed scheduling field schedule_id.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-007,schedule_version,Resource Leveling,string/number/date/boolean,Conditional,Governed scheduling field schedule_version.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-008,baseline_id,Crew Planning,string/number/date/boolean,Conditional,Governed scheduling field baseline_id.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-009,status_date,Equipment Planning,string/number/date/boolean,Conditional,Governed scheduling field status_date.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-010,record_id,Truck & Haul Planning,string/number/date/boolean,Conditional,Governed scheduling field record_id.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-011,wbs_id,Material Planning,string/number/date/boolean,Conditional,Governed scheduling field wbs_id.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-012,activity_id,Subcontractor Planning,string/number/date/boolean,Conditional,Governed scheduling field activity_id.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-013,activity_name,Look-Ahead Planning,string/number/date/boolean,Conditional,Governed scheduling field activity_name.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-014,activity_type,Last Planner & Commitments,string/number/date/boolean,Conditional,Governed scheduling field activity_type.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-015,activity_status,Pull Planning,string/number/date/boolean,Conditional,Governed scheduling field activity_status.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-016,calendar_id,Milestones & Contract Dates,string/number/date/boolean,Conditional,Governed scheduling field calendar_id.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-017,duration_original,Baseline Management,string/number/date/boolean,Conditional,Governed scheduling field duration_original.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-018,duration_remaining,Schedule Update Cycle,string/number/date/boolean,Conditional,Governed scheduling field duration_remaining.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-019,start_planned,Progress Measurement,string/number/date/boolean,Conditional,Governed scheduling field start_planned.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-020,finish_planned,Cost & Schedule Integration,string/number/date/boolean,Conditional,Governed scheduling field finish_planned.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-021,start_actual,Constraint Management,string/number/date/boolean,Conditional,Governed scheduling field start_actual.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-022,finish_actual,Weather & Calendar Impacts,string/number/date/boolean,Conditional,Governed scheduling field finish_actual.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-023,start_forecast,Schedule Risk Analysis,string/number/date/boolean,Conditional,Governed scheduling field start_forecast.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-024,finish_forecast,Recovery & Acceleration,string/number/date/boolean,Conditional,Governed scheduling field finish_forecast.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-025,percent_complete,Delay & Impact Analysis,string/number/date/boolean,Conditional,Governed scheduling field percent_complete.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-026,physical_percent_complete,Portfolio Capacity Planning,string/number/date/boolean,Conditional,Governed scheduling field physical_percent_complete.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-027,total_float,What-If & Scenario Planning,string/number/date/boolean,Conditional,Governed scheduling field total_float.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-028,free_float,AI Schedule Intelligence,string/number/date/boolean,Conditional,Governed scheduling field free_float.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-029,critical_flag,Scheduling Digital Twin,string/number/date/boolean,Conditional,Governed scheduling field critical_flag.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-030,longest_path_flag,Enterprise Scheduling Core,string/number/date/boolean,Conditional,Governed scheduling field longest_path_flag.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-031,constraint_type,CPM Scheduling,string/number/date/boolean,Conditional,Governed scheduling field constraint_type.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-032,constraint_date,Work Breakdown Structure,string/number/date/boolean,Conditional,Governed scheduling field constraint_date.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-033,predecessor_id,Calendars & Shifts,string/number/date/boolean,Conditional,Governed scheduling field predecessor_id.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-034,successor_id,Resource Planning,string/number/date/boolean,Conditional,Governed scheduling field successor_id.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-035,relationship_type,Resource Loading,string/number/date/boolean,Conditional,Governed scheduling field relationship_type.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-036,lag_value,Resource Leveling,string/number/date/boolean,Conditional,Governed scheduling field lag_value.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-037,lag_unit,Crew Planning,string/number/date/boolean,Conditional,Governed scheduling field lag_unit.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-038,resource_id,Equipment Planning,string/number/date/boolean,Conditional,Governed scheduling field resource_id.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-039,resource_type,Truck & Haul Planning,string/number/date/boolean,Conditional,Governed scheduling field resource_type.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-040,resource_units,Material Planning,string/number/date/boolean,Conditional,Governed scheduling field resource_units.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-041,resource_hours,Subcontractor Planning,string/number/date/boolean,Conditional,Governed scheduling field resource_hours.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-042,resource_capacity,Look-Ahead Planning,string/number/date/boolean,Conditional,Governed scheduling field resource_capacity.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-043,crew_id,Last Planner & Commitments,string/number/date/boolean,Conditional,Governed scheduling field crew_id.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-044,crew_size,Pull Planning,string/number/date/boolean,Conditional,Governed scheduling field crew_size.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-045,equipment_id,Milestones & Contract Dates,string/number/date/boolean,Conditional,Governed scheduling field equipment_id.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-046,equipment_class,Baseline Management,string/number/date/boolean,Conditional,Governed scheduling field equipment_class.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-047,truck_count,Schedule Update Cycle,string/number/date/boolean,Conditional,Governed scheduling field truck_count.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-048,material_id,Progress Measurement,string/number/date/boolean,Conditional,Governed scheduling field material_id.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-049,need_date,Cost & Schedule Integration,string/number/date/boolean,Conditional,Governed scheduling field need_date.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
P18-FLD-050,lead_time_days,Constraint Management,string/number/date/boolean,Conditional,Governed scheduling field lead_time_days.,"Validate scope, calendar, relationship logic, date/duration consistency, resource reference, version and permissions"
