rule_id,domain,name,rule,severity
P19-BR-001,Commercial Management Core,Commercial rule 1,"Commercial condition 1 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-002,Prime Contract Management,Commercial rule 2,"Commercial condition 2 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-003,Subcontract Management,Commercial rule 3,"Commercial condition 3 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-004,Purchase Contract Commercials,Commercial rule 4,"Commercial condition 4 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-005,Contract Clause Registry,Commercial rule 5,"Commercial condition 5 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-006,Obligation Management,Commercial rule 6,"Commercial condition 6 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-007,Notice Management,Commercial rule 7,"Commercial condition 7 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-008,Potential Change Management,Commercial rule 8,"Commercial condition 8 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-009,Change Order Management,Commercial rule 9,"Commercial condition 9 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-010,Change Pricing,Commercial rule 10,"Commercial condition 10 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-011,T&M / Force Account,Commercial rule 11,"Commercial condition 11 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-012,Change Authorization,Commercial rule 12,"Commercial condition 12 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-013,Contract Value Control,Commercial rule 13,"Commercial condition 13 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-014,Claims Management,Commercial rule 14,"Commercial condition 14 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-015,Delay & Disruption Records,Commercial rule 15,"Commercial condition 15 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-016,Differing Site Conditions,Commercial rule 16,"Commercial condition 16 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-017,Scope & Design Change,Commercial rule 17,"Commercial condition 17 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-018,Payment & Billing Commercials,Commercial rule 18,"Commercial condition 18 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-019,Retainage & Holdbacks,Commercial rule 19,"Commercial condition 19 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-020,Backcharges & Deductions,Commercial rule 20,"Commercial condition 20 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-021,Allowances & Contingencies,Commercial rule 21,"Commercial condition 21 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-022,Escalation & Price Adjustment,Commercial rule 22,"Commercial condition 22 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-023,"Insurance, Bonds & Commercial Compliance",Commercial rule 23,"Commercial condition 23 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-024,Lien & Waiver Administration,Commercial rule 24,"Commercial condition 24 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-025,Dispute Management,Commercial rule 25,"Commercial condition 25 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-026,Commercial Forecasting,Commercial rule 26,"Commercial condition 26 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-027,Contract Closeout,Commercial rule 27,"Commercial condition 27 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-028,AI Commercial Intelligence,Commercial rule 28,"Commercial condition 28 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-029,Commercial Digital Twin,Commercial rule 29,"Commercial condition 29 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-030,Commercial Management Core,Commercial rule 30,"Commercial condition 30 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-031,Prime Contract Management,Commercial rule 31,"Commercial condition 31 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-032,Subcontract Management,Commercial rule 32,"Commercial condition 32 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-033,Purchase Contract Commercials,Commercial rule 33,"Commercial condition 33 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-034,Contract Clause Registry,Commercial rule 34,"Commercial condition 34 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-035,Obligation Management,Commercial rule 35,"Commercial condition 35 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-036,Notice Management,Commercial rule 36,"Commercial condition 36 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-037,Potential Change Management,Commercial rule 37,"Commercial condition 37 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-038,Change Order Management,Commercial rule 38,"Commercial condition 38 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-039,Change Pricing,Commercial rule 39,"Commercial condition 39 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-040,T&M / Force Account,Commercial rule 40,"Commercial condition 40 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-041,Change Authorization,Commercial rule 41,"Commercial condition 41 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-042,Contract Value Control,Commercial rule 42,"Commercial condition 42 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-043,Claims Management,Commercial rule 43,"Commercial condition 43 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-044,Delay & Disruption Records,Commercial rule 44,"Commercial condition 44 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-045,Differing Site Conditions,Commercial rule 45,"Commercial condition 45 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-046,Scope & Design Change,Commercial rule 46,"Commercial condition 46 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
P19-BR-047,Payment & Billing Commercials,Commercial rule 47,"Commercial condition 47 shall enforce contract authority, required notices/deadlines, versioned pricing/approval, linked evidence, segregation of duties and immutable audit history.",Blocking
