requirement_id,domain,priority,requirement,acceptance_criteria,version
P19-REQ-001,Commercial Management Core,Must,"GrounUp shall provide governed commercial management core capability 1 with contract/project scope, authority limits, versioned commercial records, linked source evidence, permissions, deadlines and auditable decision history.","Verify requirement 1 using controlled contract/change/claim records, authority and deadline rules, linked cost/schedule/document evidence, permissions and mapped test results.",v1.0.0
P19-REQ-002,Prime Contract Management,Must,"GrounUp shall provide governed prime contract management capability 2 with contract/project scope, authority limits, versioned commercial records, linked source evidence, permissions, deadlines and auditable decision history.","Verify requirement 2 using controlled contract/change/claim records, authority and deadline rules, linked cost/schedule/document evidence, permissions and mapped test results.",v1.0.0
P19-REQ-003,Subcontract Management,Must,"GrounUp shall provide governed subcontract management capability 3 with contract/project scope, authority limits, versioned commercial records, linked source evidence, permissions, deadlines and auditable decision history.","Verify requirement 3 using controlled contract/change/claim records, authority and deadline rules, linked cost/schedule/document evidence, permissions and mapped test results.",v1.0.0
P19-REQ-004,Purchase Contract Commercials,Must,"GrounUp shall provide governed purchase contract commercials capability 4 with contract/project scope, authority limits, versioned commercial records, linked source evidence, permissions, deadlines and auditable decision history.","Verify requirement 4 using controlled contract/change/claim records, authority and deadline rules, linked cost/schedule/document evidence, permissions and mapped test results.",v1.0.0
P19-REQ-005,Contract Clause Registry,Must,"GrounUp shall provide governed contract clause registry capability 5 with contract/project scope, authority limits, versioned commercial records, linked source evidence, permissions, deadlines and auditable decision history.","Verify requirement 5 using controlled contract/change/claim records, authority and deadline rules, linked cost/schedule/document evidence, permissions and mapped test results.",v1.0.0
P19-REQ-006,Obligation Management,Must,"GrounUp shall provide governed obligation management capability 6 with contract/project scope, authority limits, versioned commercial records, linked source evidence, permissions, deadlines and auditable decision history.","Verify requirement 6 using controlled contract/change/claim records, authority and deadline rules, linked cost/schedule/document evidence, permissions and mapped test results.",v1.0.0
P19-REQ-007,Notice Management,Must,"GrounUp shall provide governed notice management capability 7 with contract/project scope, authority limits, versioned commercial records, linked source evidence, permissions, deadlines and auditable decision history.","Verify requirement 7 using controlled contract/change/claim records, authority and deadline rules, linked cost/schedule/document evidence, permissions and mapped test results.",v1.0.0
P19-REQ-008,Potential Change Management,Must,"GrounUp shall provide governed potential change management capability 8 with contract/project scope, authority limits, versioned commercial records, linked source evidence, permissions, deadlines and auditable decision history.","Verify requirement 8 using controlled contract/change/claim records, authority and deadline rules, linked cost/schedule/document evidence, permissions and mapped test results.",v1.0.0
P19-REQ-009,Change Order Management,Must,"GrounUp shall provide governed change order management capability 9 with contract/project scope, authority limits, versioned commercial records, linked source evidence, permissions, deadlines and auditable decision history.","Verify requirement 9 using controlled contract/change/claim records, authority and deadline rules, linked cost/schedule/document evidence, permissions and mapped test results.",v1.0.0
P19-REQ-010,Change Pricing,Must,"GrounUp shall provide governed change pricing capability 10 with contract/project scope, authority limits, versioned commercial records, linked source evidence, permissions, deadlines and auditable decision history.","Verify requirement 10 using controlled contract/change/claim records, authority and deadline rules, linked cost/schedule/document evidence, permissions and mapped test results.",v1.0.0
P19-REQ-011,T&M / Force Account,Must,"GrounUp shall provide governed t&m / force account capability 11 with contract/project scope, authority limits, versioned commercial records, linked source evidence, permissions, deadlines and auditable decision history.","Verify requirement 11 using controlled contract/change/claim records, authority and deadline rules, linked cost/schedule/document evidence, permissions and mapped test results.",v1.0.0
P19-REQ-012,Change Authorization,Must,"GrounUp shall provide governed change authorization capability 12 with contract/project scope, authority limits, versioned commercial records, linked source evidence, permissions, deadlines and auditable decision history.","Verify requirement 12 using controlled contract/change/claim records, authority and deadline rules, linked cost/schedule/document evidence, permissions and mapped test results.",v1.0.0
P19-REQ-013,Contract Value Control,Must,"GrounUp shall provide governed contract value control capability 13 with contract/project scope, authority limits, versioned commercial records, linked source evidence, permissions, deadlines and auditable decision history.","Verify requirement 13 using controlled contract/change/claim records, authority and deadline rules, linked cost/schedule/document evidence, permissions and mapped test results.",v1.0.0
