Requirement_ID,Test_ID,Module_Code,Priority,Mapping_Status
P07-REQ-001,P07-TC-001,PLM,Must,Mapped
P07-REQ-002,P07-TC-002,PLM,Must,Mapped
P07-REQ-003,P07-TC-003,PLM,Must,Mapped
P07-REQ-004,P07-TC-004,PLM,Must,Mapped
P07-REQ-005,P07-TC-005,PLM,Must,Mapped
P07-REQ-006,P07-TC-006,PLM,Must,Mapped
P07-REQ-007,P07-TC-007,PLM,Must,Mapped
P07-REQ-008,P07-TC-008,PLM,Must,Mapped
P07-REQ-009,P07-TC-009,PLM,Must,Mapped
P07-REQ-010,P07-TC-010,PLM,Must,Mapped
P07-REQ-011,P07-TC-011,CMD,Must,Mapped
P07-REQ-012,P07-TC-012,CMD,Must,Mapped
P07-REQ-013,P07-TC-013,CMD,Must,Mapped
P07-REQ-014,P07-TC-014,CMD,Must,Mapped
P07-REQ-015,P07-TC-015,CMD,Must,Mapped
P07-REQ-016,P07-TC-016,CMD,Must,Mapped
P07-REQ-017,P07-TC-017,CMD,Must,Mapped
P07-REQ-018,P07-TC-018,CMD,Must,Mapped
P07-REQ-019,P07-TC-019,CMD,Must,Mapped
P07-REQ-020,P07-TC-020,CMD,Must,Mapped
P07-REQ-021,P07-TC-021,SCH,Must,Mapped
P07-REQ-022,P07-TC-022,SCH,Must,Mapped
P07-REQ-023,P07-TC-023,SCH,Must,Mapped
P07-REQ-024,P07-TC-024,SCH,Must,Mapped
P07-REQ-025,P07-TC-025,SCH,Must,Mapped
P07-REQ-026,P07-TC-026,SCH,Must,Mapped
P07-REQ-027,P07-TC-027,SCH,Must,Mapped
P07-REQ-028,P07-TC-028,SCH,Must,Mapped
P07-REQ-029,P07-TC-029,SCH,Must,Mapped
P07-REQ-030,P07-TC-030,SCH,Must,Mapped
P07-REQ-031,P07-TC-031,FLD,Must,Mapped
P07-REQ-032,P07-TC-032,FLD,Must,Mapped
P07-REQ-033,P07-TC-033,FLD,Must,Mapped
P07-REQ-034,P07-TC-034,FLD,Must,Mapped
P07-REQ-035,P07-TC-035,FLD,Must,Mapped
P07-REQ-036,P07-TC-036,FLD,Must,Mapped
P07-REQ-037,P07-TC-037,FLD,Must,Mapped
P07-REQ-038,P07-TC-038,FLD,Must,Mapped
P07-REQ-039,P07-TC-039,FLD,Must,Mapped
P07-REQ-040,P07-TC-040,FLD,Must,Mapped
P07-REQ-041,P07-TC-041,DOC,Must,Mapped
P07-REQ-042,P07-TC-042,DOC,Must,Mapped
P07-REQ-043,P07-TC-043,DOC,Must,Mapped
P07-REQ-044,P07-TC-044,DOC,Must,Mapped
P07-REQ-045,P07-TC-045,DOC,Must,Mapped
P07-REQ-046,P07-TC-046,DOC,Must,Mapped
P07-REQ-047,P07-TC-047,DOC,Must,Mapped
P07-REQ-048,P07-TC-048,DOC,Must,Mapped
P07-REQ-049,P07-TC-049,DOC,Must,Mapped
P07-REQ-050,P07-TC-050,DOC,Must,Mapped
P07-REQ-051,P07-TC-051,CHG,Must,Mapped
P07-REQ-052,P07-TC-052,CHG,Must,Mapped
P07-REQ-053,P07-TC-053,CHG,Must,Mapped
P07-REQ-054,P07-TC-054,CHG,Must,Mapped
P07-REQ-055,P07-TC-055,CHG,Must,Mapped
P07-REQ-056,P07-TC-056,CHG,Must,Mapped
P07-REQ-057,P07-TC-057,CHG,Must,Mapped
P07-REQ-058,P07-TC-058,CHG,Must,Mapped
P07-REQ-059,P07-TC-059,CHG,Must,Mapped
P07-REQ-060,P07-TC-060,CHG,Must,Mapped
P07-REQ-061,P07-TC-061,FIN,Must,Mapped
P07-REQ-062,P07-TC-062,FIN,Must,Mapped
P07-REQ-063,P07-TC-063,FIN,Must,Mapped
P07-REQ-064,P07-TC-064,FIN,Must,Mapped
P07-REQ-065,P07-TC-065,FIN,Must,Mapped
P07-REQ-066,P07-TC-066,FIN,Must,Mapped
P07-REQ-067,P07-TC-067,FIN,Must,Mapped
P07-REQ-068,P07-TC-068,FIN,Must,Mapped
P07-REQ-069,P07-TC-069,FIN,Must,Mapped
P07-REQ-070,P07-TC-070,FIN,Must,Mapped
P07-REQ-071,P07-TC-071,RES,Must,Mapped
P07-REQ-072,P07-TC-072,RES,Must,Mapped
P07-REQ-073,P07-TC-073,RES,Must,Mapped
P07-REQ-074,P07-TC-074,RES,Must,Mapped
P07-REQ-075,P07-TC-075,RES,Must,Mapped
P07-REQ-076,P07-TC-076,RES,Must,Mapped
P07-REQ-077,P07-TC-077,RES,Must,Mapped
P07-REQ-078,P07-TC-078,RES,Must,Mapped
P07-REQ-079,P07-TC-079,RES,Must,Mapped
P07-REQ-080,P07-TC-080,RES,Must,Mapped
P07-REQ-081,P07-TC-081,QLT,Must,Mapped
P07-REQ-082,P07-TC-082,QLT,Must,Mapped
P07-REQ-083,P07-TC-083,QLT,Must,Mapped
P07-REQ-084,P07-TC-084,QLT,Must,Mapped
P07-REQ-085,P07-TC-085,QLT,Must,Mapped
P07-REQ-086,P07-TC-086,QLT,Must,Mapped
P07-REQ-087,P07-TC-087,QLT,Must,Mapped
P07-REQ-088,P07-TC-088,QLT,Must,Mapped
P07-REQ-089,P07-TC-089,QLT,Must,Mapped
P07-REQ-090,P07-TC-090,QLT,Must,Mapped
P07-REQ-091,P07-TC-091,SAF,Must,Mapped
P07-REQ-092,P07-TC-092,SAF,Must,Mapped
P07-REQ-093,P07-TC-093,SAF,Must,Mapped
P07-REQ-094,P07-TC-094,SAF,Must,Mapped
P07-REQ-095,P07-TC-095,SAF,Must,Mapped
P07-REQ-096,P07-TC-096,SAF,Must,Mapped
P07-REQ-097,P07-TC-097,SAF,Must,Mapped
P07-REQ-098,P07-TC-098,SAF,Must,Mapped
P07-REQ-099,P07-TC-099,SAF,Must,Mapped
P07-REQ-100,P07-TC-100,SAF,Must,Mapped
P07-REQ-101,P07-TC-101,PRC,Must,Mapped
P07-REQ-102,P07-TC-102,PRC,Must,Mapped
P07-REQ-103,P07-TC-103,PRC,Must,Mapped
P07-REQ-104,P07-TC-104,PRC,Must,Mapped
