ui_id,name,domain,capabilities,form_factor
P19-UI-001,Commercial Command Center,Commercial Management Core,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-002,Contract Register,Prime Contract Management,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-003,Contract Workspace,Subcontract Management,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-004,Clause Registry,Purchase Contract Commercials,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-005,Clause Review,Contract Clause Registry,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-006,Obligation Register,Obligation Management,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-007,Obligation Calendar,Notice Management,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-008,Notice Center,Potential Change Management,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-009,Notice Deadline Monitor,Change Order Management,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-010,Potential Change Register,Change Pricing,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-011,Change Event Workspace,T&M / Force Account,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-012,Change Pricing Workspace,Change Authorization,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-013,T&M/Force Account Mobile,Contract Value Control,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
