requirement_id,test_id,control_id,execution_contract_id,status
P22-REQ-001,P22-TST-001,P22-CTRL-001,P22-EXEC-001,Mapped
P22-REQ-002,P22-TST-002,P22-CTRL-002,P22-EXEC-002,Mapped
P22-REQ-003,P22-TST-003,P22-CTRL-003,P22-EXEC-003,Mapped
P22-REQ-004,P22-TST-004,P22-CTRL-004,P22-EXEC-004,Mapped
P22-REQ-005,P22-TST-005,P22-CTRL-005,P22-EXEC-005,Mapped
P22-REQ-006,P22-TST-006,P22-CTRL-006,P22-EXEC-006,Mapped
P22-REQ-007,P22-TST-007,P22-CTRL-007,P22-EXEC-007,Mapped
P22-REQ-008,P22-TST-008,P22-CTRL-008,P22-EXEC-008,Mapped
P22-REQ-009,P22-TST-009,P22-CTRL-009,P22-EXEC-009,Mapped
P22-REQ-010,P22-TST-010,P22-CTRL-010,P22-EXEC-010,Mapped
P22-REQ-011,P22-TST-011,P22-CTRL-011,P22-EXEC-011,Mapped
P22-REQ-012,P22-TST-012,P22-CTRL-012,P22-EXEC-012,Mapped
P22-REQ-013,P22-TST-013,P22-CTRL-013,P22-EXEC-013,Mapped
P22-REQ-014,P22-TST-014,P22-CTRL-014,P22-EXEC-014,Mapped
P22-REQ-015,P22-TST-015,P22-CTRL-015,P22-EXEC-015,Mapped
P22-REQ-016,P22-TST-016,P22-CTRL-016,P22-EXEC-016,Mapped
P22-REQ-017,P22-TST-017,P22-CTRL-017,P22-EXEC-017,Mapped
P22-REQ-018,P22-TST-018,P22-CTRL-018,P22-EXEC-018,Mapped
P22-REQ-019,P22-TST-019,P22-CTRL-019,P22-EXEC-019,Mapped
P22-REQ-020,P22-TST-020,P22-CTRL-020,P22-EXEC-020,Mapped
P22-REQ-021,P22-TST-021,P22-CTRL-021,P22-EXEC-021,Mapped
P22-REQ-022,P22-TST-022,P22-CTRL-022,P22-EXEC-022,Mapped
P22-REQ-023,P22-TST-023,P22-CTRL-023,P22-EXEC-023,Mapped
P22-REQ-024,P22-TST-024,P22-CTRL-024,P22-EXEC-024,Mapped
P22-REQ-025,P22-TST-025,P22-CTRL-025,P22-EXEC-001,Mapped
P22-REQ-026,P22-TST-026,P22-CTRL-026,P22-EXEC-002,Mapped
P22-REQ-027,P22-TST-027,P22-CTRL-027,P22-EXEC-003,Mapped
P22-REQ-028,P22-TST-028,P22-CTRL-028,P22-EXEC-004,Mapped
P22-REQ-029,P22-TST-029,P22-CTRL-029,P22-EXEC-005,Mapped
P22-REQ-030,P22-TST-030,P22-CTRL-030,P22-EXEC-006,Mapped
P22-REQ-031,P22-TST-031,P22-CTRL-001,P22-EXEC-007,Mapped
P22-REQ-032,P22-TST-032,P22-CTRL-002,P22-EXEC-008,Mapped
P22-REQ-033,P22-TST-033,P22-CTRL-003,P22-EXEC-009,Mapped
