requirement_id,domain,priority,requirement,acceptance_criteria,version
P22-REQ-001,Final Reconciliation,Must,"GrounUp shall enforce governed final reconciliation control 1 for the final GES v1.0 implementation and enterprise lock baseline, including provenance, ownership, evidence, exception handling, version control and audit history.","Control 1 passes only when required source references, owner disposition, evidence, approvals, mapped tests and lock-state rules are satisfied.",v1.0.0
P22-REQ-002,Enterprise Lock,Must,"GrounUp shall enforce governed enterprise lock control 2 for the final GES v1.0 implementation and enterprise lock baseline, including provenance, ownership, evidence, exception handling, version control and audit history.","Control 2 passes only when required source references, owner disposition, evidence, approvals, mapped tests and lock-state rules are satisfied.",v1.0.0
P22-REQ-003,Architecture Baseline,Must,"GrounUp shall enforce governed architecture baseline control 3 for the final GES v1.0 implementation and enterprise lock baseline, including provenance, ownership, evidence, exception handling, version control and audit history.","Control 3 passes only when required source references, owner disposition, evidence, approvals, mapped tests and lock-state rules are satisfied.",v1.0.0
P22-REQ-004,Canonical Data/API Contracts,Must,"GrounUp shall enforce governed canonical data/api contracts control 4 for the final GES v1.0 implementation and enterprise lock baseline, including provenance, ownership, evidence, exception handling, version control and audit history.","Control 4 passes only when required source references, owner disposition, evidence, approvals, mapped tests and lock-state rules are satisfied.",v1.0.0
P22-REQ-005,Security & Privacy Acceptance,Must,"GrounUp shall enforce governed security & privacy acceptance control 5 for the final GES v1.0 implementation and enterprise lock baseline, including provenance, ownership, evidence, exception handling, version control and audit history.","Control 5 passes only when required source references, owner disposition, evidence, approvals, mapped tests and lock-state rules are satisfied.",v1.0.0
P22-REQ-006,AI Governance Acceptance,Must,"GrounUp shall enforce governed ai governance acceptance control 6 for the final GES v1.0 implementation and enterprise lock baseline, including provenance, ownership, evidence, exception handling, version control and audit history.","Control 6 passes only when required source references, owner disposition, evidence, approvals, mapped tests and lock-state rules are satisfied.",v1.0.0
P22-REQ-007,Testing & UAT Acceptance,Must,"GrounUp shall enforce governed testing & uat acceptance control 7 for the final GES v1.0 implementation and enterprise lock baseline, including provenance, ownership, evidence, exception handling, version control and audit history.","Control 7 passes only when required source references, owner disposition, evidence, approvals, mapped tests and lock-state rules are satisfied.",v1.0.0
P22-REQ-008,Implementation Backlog,Must,"GrounUp shall enforce governed implementation backlog control 8 for the final GES v1.0 implementation and enterprise lock baseline, including provenance, ownership, evidence, exception handling, version control and audit history.","Control 8 passes only when required source references, owner disposition, evidence, approvals, mapped tests and lock-state rules are satisfied.",v1.0.0
P22-REQ-009,Developer Execution Contract,Must,"GrounUp shall enforce governed developer execution contract control 9 for the final GES v1.0 implementation and enterprise lock baseline, including provenance, ownership, evidence, exception handling, version control and audit history.","Control 9 passes only when required source references, owner disposition, evidence, approvals, mapped tests and lock-state rules are satisfied.",v1.0.0
P22-REQ-010,AI Coding Contract,Must,"GrounUp shall enforce governed ai coding contract control 10 for the final GES v1.0 implementation and enterprise lock baseline, including provenance, ownership, evidence, exception handling, version control and audit history.","Control 10 passes only when required source references, owner disposition, evidence, approvals, mapped tests and lock-state rules are satisfied.",v1.0.0
