requirement_id,module_code,title,requirement,priority,source,status,acceptance_criteria
GES-P05-REQ-001,EST,Estimate Core canonical model,"The platform shall provide estimate core canonical model for estimate lifecycle, alternates, versions, approvals, lock/reopen, compare and export.",Must,GES roadmap,Proposed,"Demonstrate estimate core canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-002,EST,Estimate Core configurable rules,"The platform shall provide estimate core configurable rules for estimate lifecycle, alternates, versions, approvals, lock/reopen, compare and export.",Must,GES roadmap,Proposed,"Demonstrate estimate core configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-003,EST,Estimate Core auditability,"The platform shall provide estimate core auditability for estimate lifecycle, alternates, versions, approvals, lock/reopen, compare and export.",Must,GES roadmap,Proposed,"Demonstrate estimate core auditability with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-004,EST,Estimate Core permissions,"The platform shall provide estimate core permissions for estimate lifecycle, alternates, versions, approvals, lock/reopen, compare and export.",Must,GES roadmap,Proposed,"Demonstrate estimate core permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-005,EST,Estimate Core import/export,"The platform shall provide estimate core import/export for estimate lifecycle, alternates, versions, approvals, lock/reopen, compare and export.",Should,GES roadmap,Proposed,"Demonstrate estimate core import/export with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-006,EST,Estimate Core validation and testing,"The platform shall provide estimate core validation and testing for estimate lifecycle, alternates, versions, approvals, lock/reopen, compare and export.",Should,GES roadmap,Proposed,"Demonstrate estimate core validation and testing with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-007,QTY,Quantity Intelligence canonical model,"The platform shall provide quantity intelligence canonical model for manual, imported and ai-derived quantities with geometry, units, factors and confidence.",Must,GES roadmap,Proposed,"Demonstrate quantity intelligence canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-008,QTY,Quantity Intelligence configurable rules,"The platform shall provide quantity intelligence configurable rules for manual, imported and ai-derived quantities with geometry, units, factors and confidence.",Must,GES roadmap,Proposed,"Demonstrate quantity intelligence configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-009,QTY,Quantity Intelligence auditability,"The platform shall provide quantity intelligence auditability for manual, imported and ai-derived quantities with geometry, units, factors and confidence.",Must,GES roadmap,Proposed,"Demonstrate quantity intelligence auditability with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-010,QTY,Quantity Intelligence permissions,"The platform shall provide quantity intelligence permissions for manual, imported and ai-derived quantities with geometry, units, factors and confidence.",Must,GES roadmap,Proposed,"Demonstrate quantity intelligence permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-011,QTY,Quantity Intelligence import/export,"The platform shall provide quantity intelligence import/export for manual, imported and ai-derived quantities with geometry, units, factors and confidence.",Should,GES roadmap,Proposed,"Demonstrate quantity intelligence import/export with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-012,QTY,Quantity Intelligence validation and testing,"The platform shall provide quantity intelligence validation and testing for manual, imported and ai-derived quantities with geometry, units, factors and confidence.",Should,GES roadmap,Proposed,"Demonstrate quantity intelligence validation and testing with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-013,TAK,Takeoff canonical model,"The platform shall provide takeoff canonical model for pdf/cad/bim/gis/drone source ingestion, calibration, measurement, annotations and revision comparison.",Must,GES roadmap,Proposed,"Demonstrate takeoff canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-014,TAK,Takeoff configurable rules,"The platform shall provide takeoff configurable rules for pdf/cad/bim/gis/drone source ingestion, calibration, measurement, annotations and revision comparison.",Must,GES roadmap,Proposed,"Demonstrate takeoff configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-015,TAK,Takeoff auditability,"The platform shall provide takeoff auditability for pdf/cad/bim/gis/drone source ingestion, calibration, measurement, annotations and revision comparison.",Must,GES roadmap,Proposed,"Demonstrate takeoff auditability with tenant-specific configuration, role controls, version history, and traceable output."
