entity_id,name,domain,definition,key,governance
P15-ENT-001,Document,Document Control,Canonical information-management entity for Document.,tenant_id + record_id,Versioned/audited; project scoped; retention governed
P15-ENT-002,DocumentRevision,Drawing Management,Canonical information-management entity for DocumentRevision.,tenant_id + record_id,Versioned/audited; project scoped; retention governed
P15-ENT-003,DocumentVersion,Specification Management,Canonical information-management entity for DocumentVersion.,tenant_id + record_id,Versioned/audited; project scoped; retention governed
P15-ENT-004,DocumentType,Submittals,Canonical information-management entity for DocumentType.,tenant_id + record_id,Versioned/audited; project scoped; retention governed
P15-ENT-005,DocumentStatus,RFIs,Canonical information-management entity for DocumentStatus.,tenant_id + record_id,Versioned/audited; project scoped; retention governed
P15-ENT-006,DocumentNumber,Transmittals & Distribution,Canonical information-management entity for DocumentNumber.,tenant_id + record_id,Versioned/audited; project scoped; retention governed
P15-ENT-007,DocumentMetadata,Correspondence & Records,Canonical information-management entity for DocumentMetadata.,tenant_id + record_id,Versioned/audited; project scoped; retention governed
P15-ENT-008,DocumentRelationship,Version & Revision Control,Canonical information-management entity for DocumentRelationship.,tenant_id + record_id,Versioned/audited; project scoped; retention governed
P15-ENT-009,DocumentLink,Markup & Review,Canonical information-management entity for DocumentLink.,tenant_id + record_id,Versioned/audited; project scoped; retention governed
P15-ENT-010,DocumentFolder,OCR & Content Extraction,Canonical information-management entity for DocumentFolder.,tenant_id + record_id,Versioned/audited; project scoped; retention governed
P15-ENT-011,DocumentCollection,Plan & Spec Intelligence,Canonical information-management entity for DocumentCollection.,tenant_id + record_id,Versioned/audited; project scoped; retention governed
P15-ENT-012,DocumentSet,Document Search & Retrieval,Canonical information-management entity for DocumentSet.,tenant_id + record_id,Versioned/audited; project scoped; retention governed
P15-ENT-013,DocumentPackage,Records Retention & Legal Hold,Canonical information-management entity for DocumentPackage.,tenant_id + record_id,Versioned/audited; project scoped; retention governed
P15-ENT-014,DocumentTemplate,External Collaboration,Canonical information-management entity for DocumentTemplate.,tenant_id + record_id,Versioned/audited; project scoped; retention governed
P15-ENT-015,Drawing,Field Document Access,Canonical information-management entity for Drawing.,tenant_id + record_id,Versioned/audited; project scoped; retention governed
P15-ENT-016,DrawingSheet,BIM/CDE Coordination,Canonical information-management entity for DrawingSheet.,tenant_id + record_id,Versioned/audited; project scoped; retention governed
