engine_id,name,type,purpose,governance
P18-ENG-001,CPM Calculation Engine,Deterministic,"Provides cpm calculation engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-002,Forward Pass Engine,Deterministic,"Provides forward pass engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-003,Backward Pass Engine,Deterministic,"Provides backward pass engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-004,Float Calculation Engine,Deterministic,"Provides float calculation engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-005,Critical Path Engine,Deterministic,"Provides critical path engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-006,Longest Path Engine,Deterministic,"Provides longest path engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-007,Relationship Validation Engine,Deterministic,"Provides relationship validation engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-008,Constraint Validation Engine,Deterministic,"Provides constraint validation engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-009,Calendar Engine,Deterministic,"Provides calendar engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-010,Shift Calendar Engine,Deterministic,"Provides shift calendar engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-011,Baseline Comparison Engine,Deterministic,"Provides baseline comparison engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-012,Schedule Update Engine,Deterministic,"Provides schedule update engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-013,Progress Measurement Engine,Deterministic,"Provides progress measurement engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-014,Quantity Progress Engine,Deterministic,"Provides quantity progress engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-015,Production Progress Engine,Deterministic,"Provides production progress engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-016,Earned Value Engine,Deterministic,"Provides earned value engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-017,Crew Demand Engine,Deterministic,"Provides crew demand engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-018,Equipment Demand Engine,Deterministic,"Provides equipment demand engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-019,Truck Demand Engine,Deterministic,"Provides truck demand engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-020,Material Need-Date Engine,Deterministic,"Provides material need-date engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-021,Subcontractor Demand Engine,Deterministic,"Provides subcontractor demand engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-022,Resource Loading Engine,Deterministic,"Provides resource loading engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-023,Resource Histogram Engine,Deterministic,"Provides resource histogram engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-024,Resource Leveling Engine,Deterministic,"Provides resource leveling engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-025,Resource Smoothing Engine,Deterministic,"Provides resource smoothing engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-026,Capacity Gap Engine,Deterministic,"Provides capacity gap engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-027,Look-Ahead Engine,Deterministic,"Provides look-ahead engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-028,Weekly Work Plan Engine,Deterministic,"Provides weekly work plan engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-029,PPC Engine,Deterministic,"Provides ppc engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-030,Constraint Readiness Engine,Deterministic,"Provides constraint readiness engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-031,Pull Planning Engine,Deterministic,"Provides pull planning engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
