workflow_id,name,domain,states,control
P18-WF-001,Project Schedule Creation,Enterprise Scheduling Core,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-002,WBS Creation,CPM Scheduling,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-003,Calendar Setup,Work Breakdown Structure,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-004,Activity & Logic Development,Calendars & Shifts,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-005,Milestone Setup,Resource Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-006,Schedule Quality Check,Resource Loading,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-007,Initial Baseline Approval,Resource Leveling,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-008,Baseline Revision,Crew Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-009,Schedule Update Cycle,Equipment Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-010,Status Date Advance,Truck & Haul Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-011,Actual Progress Update,Material Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-012,Quantity-Based Progress Update,Subcontractor Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-013,Production-Based Progress Update,Look-Ahead Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-014,Resource Loading,Last Planner & Commitments,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-015,Labor/Crew Loading,Pull Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-016,Equipment Loading,Milestones & Contract Dates,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-017,Truck/Haul Loading,Baseline Management,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-018,Material Need-Date Planning,Schedule Update Cycle,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-019,Subcontractor Loading,Progress Measurement,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-020,Resource Leveling,Cost & Schedule Integration,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-021,Resource Smoothing,Constraint Management,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-022,Look-Ahead Creation,Weather & Calendar Impacts,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-023,Weekly Work Planning,Schedule Risk Analysis,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-024,Commitment/PPC Review,Recovery & Acceleration,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-025,Pull Planning Session,Delay & Impact Analysis,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-026,Constraint Identification,Portfolio Capacity Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-027,Constraint Escalation,What-If & Scenario Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-028,Constraint Closure,AI Schedule Intelligence,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-029,Weather Impact Update,Scheduling Digital Twin,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-030,Schedule Risk Analysis,Enterprise Scheduling Core,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-031,Scenario Creation,CPM Scheduling,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-032,What-If Comparison,Work Breakdown Structure,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-033,Recovery Plan,Calendars & Shifts,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-034,Acceleration Review,Resource Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-035,Design Change Impact,Resource Loading,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-036,Delay Event Capture,Resource Leveling,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-037,Fragnet Creation,Crew Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-038,Time Impact Analysis,Equipment Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-039,Portfolio Capacity Planning,Truck & Haul Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-040,Backlog Resource Forecast,Material Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-041,Cash Flow/Schedule Integration,Subcontractor Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-042,Earned Value Update,Look-Ahead Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-043,Forecast Completion Update,Last Planner & Commitments,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
P18-WF-044,Critical Path Review,Pull Planning,Initiate > Validate > Calculate/Plan > Review > Approve > Publish/Execute > Monitor > Close,"Baseline, calendar, logic, resource and approval gates enforced"
