api_id,method,path,purpose,security,control
P27-API-001,POST,/api/v1/copilot/messages,Send copilot message,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-002,GET,/api/v1/copilot/conversations/{id},Read conversation,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-003,POST,/api/v1/ai/tasks,Create agent task,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-004,GET,/api/v1/ai/tasks/{id},Read agent task state,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-005,POST,/api/v1/ai/tasks/{id}/cancel,Cancel authorized agent task,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-006,GET,/api/v1/ai/tools,List permitted tools,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-007,POST,/api/v1/ai/tools/{toolId}/invoke,Invoke governed tool,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-008,GET,/api/v1/ai/evidence/{id},Read permitted evidence reference,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-009,POST,/api/v1/ai/approvals/{id}/approve,Approve protected AI action,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-010,POST,/api/v1/ai/approvals/{id}/reject,Reject protected AI action,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-011,POST,/api/v1/ai/plan-intelligence,Analyze plan sheet/page evidence,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-012,POST,/api/v1/ai/spec-intelligence,Analyze specification evidence,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-013,POST,/api/v1/ai/addenda-impact,Analyze addenda impact,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-014,POST,/api/v1/ai/scope-extract,Extract scope candidates,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-015,POST,/api/v1/ai/quantity-candidates,Generate quantity candidates,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-016,POST,/api/v1/ai/service-map,Map scope to services/assemblies,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-017,POST,/api/v1/ai/estimate-inputs,Suggest estimate inputs,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-018,POST,/api/v1/ai/estimate-review,Review estimate,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-019,POST,/api/v1/ai/risk-review,Run construction/estimate risk review,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-020,POST,/api/v1/ai/conflict-review,Find source conflicts,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-021,POST,/api/v1/ai/missing-info,Find missing information,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-022,POST,/api/v1/ai/constructability,Run constructability advisory,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-023,POST,/api/v1/ai/evaluations,Run AI evaluation,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-024,GET,/api/v1/ai/evaluations/{id},Read evaluation result,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-025,POST,/api/v1/ai/feedback,Record human feedback,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-026,GET,/api/v1/ai/usage,Read permitted AI usage/cost metrics,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-027,GET,/api/v1/ai/incidents,List AI incidents,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
P27-API-028,POST,/api/v1/ai/background-runs,Start authorized background agent run,Authenticated; tenant/project scope; AI/tool policy; protected actions may require approval,"Request/result includes source requirement, model/prompt/tool version and evidence metadata"
