api_id,method,path,resource,security,control
P19-API-001,GET/POST,/api/v1/commercial/contracts,contracts,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-002,GET/POST,/api/v1/commercial/contract-versions,contract-versions,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-003,GET/POST,/api/v1/commercial/amendments,amendments,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-004,GET/POST,/api/v1/commercial/clauses,clauses,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-005,GET/POST,/api/v1/commercial/obligations,obligations,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-006,GET/POST,/api/v1/commercial/notice-requirements,notice-requirements,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-007,GET/POST,/api/v1/commercial/notices,notices,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-008,GET/POST,/api/v1/commercial/notice-deliveries,notice-deliveries,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-009,GET/POST,/api/v1/commercial/potential-changes,potential-changes,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-010,GET/POST,/api/v1/commercial/change-orders,change-orders,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-011,GET/POST,/api/v1/commercial/change-versions,change-versions,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-012,GET/POST,/api/v1/commercial/change-directives,change-directives,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-013,GET/POST,/api/v1/commercial/authorizations,authorizations,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-014,GET/POST,/api/v1/commercial/approval-matrices,approval-matrices,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-015,GET/POST,/api/v1/commercial/change-pricing,change-pricing,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-016,GET/POST,/api/v1/commercial/change-line-items,change-line-items,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-017,GET/POST,/api/v1/commercial/tm-tickets,tm-tickets,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-018,GET/POST,/api/v1/commercial/force-account,force-account,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-019,GET/POST,/api/v1/commercial/rate-schedules,rate-schedules,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-020,GET/POST,/api/v1/commercial/contract-values,contract-values,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-021,GET/POST,/api/v1/commercial/commercial-exposure,commercial-exposure,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-022,GET/POST,/api/v1/commercial/claims,claims,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
