Requirement_ID,Specification,Entity_or_Data,Rules,Workflow,AI,Interfaces,Test_Cases,Release,Status
CPF-000001,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-001,Planned,Review
CPF-000002,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-002,Planned,Review
CPF-000003,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-003,Planned,Review
CPF-000004,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-004,Planned,Review
CPF-000005,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-005,Planned,Review
CPF-000006,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-006,Planned,Review
CPF-000007,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-007,Planned,Review
CPF-000008,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-008,Planned,Review
CPF-000009,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-009,Planned,Review
CPF-000010,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-010,Planned,Review
CPF-000011,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-011,Planned,Review
CPF-000012,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-012,Planned,Review
CPF-000013,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-013,Planned,Review
CPF-000014,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-014,Planned,Review
CPF-000015,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-015,Planned,Review
CPF-000016,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-016,Planned,Review
CPF-000017,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-017,Planned,Review
CPF-000018,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-018,Planned,Review
CPF-000019,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-019,Planned,Review
CPF-000020,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-020,Planned,Review
CPF-000021,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-021,Planned,Review
CPF-000022,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-022,Planned,Review
CPF-000023,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-023,Planned,Review
CPF-000024,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-024,Planned,Review
CPF-000025,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-025,Planned,Review
CPF-000026,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-026,Planned,Review
CPF-000027,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-027,Planned,Review
CPF-000028,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-028,Planned,Review
CPF-000029,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-029,Planned,Review
