Source,Depends_On,Dependency_Type,Status
CPF-000001,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000002,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000003,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000004,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000005,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000006,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000007,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000008,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000009,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000010,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000011,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000012,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000013,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000014,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000015,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000016,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000017,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000018,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000019,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000020,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000021,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000022,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000023,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000024,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000025,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000026,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000027,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000028,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000029,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000030,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000031,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000032,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000033,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000034,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000035,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000036,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000037,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000038,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000039,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000040,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000041,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000042,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000043,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000044,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000045,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000046,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000047,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000048,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000049,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000050,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000051,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000052,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000053,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000054,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000055,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000056,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000057,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000058,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000059,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
CPF-000060,Phase 01 Governance,Phase dependency,Satisfied by approved/review Phase 01 baseline
