api_id,method,path,purpose,security,control
P30-API-001,GET,/api/v1/commercial/catalog,Read permitted product/plan catalog,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-002,POST,/api/v1/commercial/tenants/{id}/provision,Provision tenant commercial configuration,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-003,GET,/api/v1/commercial/tenants/{id}/entitlements,Resolve effective entitlements,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-004,POST,/api/v1/commercial/subscriptions,Create subscription,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-005,POST,/api/v1/commercial/subscriptions/{id}/change,Schedule/apply plan change,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-006,POST,/api/v1/commercial/subscriptions/{id}/cancel,Cancel subscription,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-007,POST,/api/v1/commercial/usage,Ingest metered usage,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-008,GET,/api/v1/commercial/usage/summary,Read usage/quota summary,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-009,GET,/api/v1/commercial/invoices,List permitted invoices,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-010,POST,/api/v1/commercial/invoices/{id}/adjustments,Create governed adjustment,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-011,POST,/api/v1/commercial/trials,Start eligible trial,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-012,POST,/api/v1/commercial/promotions/redeem,Redeem eligible promotion,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-013,GET,/api/v1/commercial/licenses,List effective licenses,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-014,POST,/api/v1/commercial/seats/assign,Assign seat,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-015,POST,/api/v1/commercial/seats/revoke,Revoke seat,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-016,GET,/api/v1/commercial/white-label,Read brand configuration,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-017,PUT,/api/v1/commercial/white-label,Update permitted brand configuration,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-018,POST,/api/v1/commercial/custom-domains,Register/verify custom domain,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-019,GET,/api/v1/commercial/marketplace,List entitled marketplace items,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-020,POST,/api/v1/commercial/onboarding/{tenantId}/activate,Activate tenant after gates,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-021,GET,/api/v1/commercial/customer-health/{tenantId},Read customer health,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-022,GET,/api/v1/commercial/support/entitlement,Resolve support entitlement,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-023,GET,/api/v1/commercial/revops/metrics,Read commercial metrics,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-024,GET,/api/v1/commercial/audit,Query permitted commercial audit,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-025,GET,/api/v1/commercial/incidents,List commercial incidents,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-026,POST,/api/v1/commercial/incidents/{id}/correct,Apply governed corrective workflow,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-027,POST,/api/v1/commercial/webhooks/test,Test entitled webhook destination,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
P30-API-028,GET,/api/v1/commercial/admin/plan-versions,List plan versions,Authenticated; tenant/admin scope; Phase 28 controls; commercial role/SoD,Idempotency and audit required for state-changing financial/access actions
